"","gene_name","gene_alias","gene_title","chr","map"
"DTL","DTL","DTL","denticleless E3 ubiquitin protein ligase homolog","1","1q32.3"
"DTNB","DTNB","DTNB","dystrobrevin beta","2","2p23.3"
"DTNBP1","DTNBP1","DTNBP1","dystrobrevin binding protein 1","6","6p22.3"
"DTWD1","DTWD1","DTWD1","DTW domain containing 1","15","15q21.2"
"DTWD2","DTWD2","DTWD2","DTW domain containing 2","5","5q23.1"
"DTX3L","DTX3L","DTX3L","deltex E3 ubiquitin ligase 3L","3","3q21.1"
"DTYMK","DTYMK","DTYMK","deoxythymidylate kinase","2","2q37.3"
"DUS1L","DUS1L","DUS1L","dihydrouridine synthase 1 like","17","17q25.3"
"DUS2L","DUS2L","DUS2L",NA,NA,NA
"DUS3L","DUS3L","DUS3L","dihydrouridine synthase 3 like","19","19p13.3"
"DUSP11","DUSP11","DUSP11","dual specificity phosphatase 11","2","2p13.1"
"DUSP12","DUSP12","DUSP12","dual specificity phosphatase 12","1","1q23.3"
"DUSP19","DUSP19","DUSP19","dual specificity phosphatase 19","2","2q32.1"
"DUSP22","DUSP22","DUSP22","dual specificity phosphatase 22","6","6p25.3"
"DUSP23","DUSP23","DUSP23","dual specificity phosphatase 23","1","1q23.2"
"DUSP3","DUSP3","DUSP3","dual specificity phosphatase 3","17","17q21.31"
"DUSP4","DUSP4","DUSP4","dual specificity phosphatase 4","8","8p12"
"DUT","DUT","DUT","deoxyuridine triphosphatase","15","15q21.1"
"DVL2","DVL2","DVL2","dishevelled segment polarity protein 2","17","17p13.1"
"DYM","DYM","DYM","dymeclin","18","18q21.1"
"DYNC1H1","DYNC1H1","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","14","14q32.31"
"DYNC1I2","DYNC1I2","DYNC1I2","dynein cytoplasmic 1 intermediate chain 2","2","2q31.1"
"DYNC1LI1","DYNC1LI1","DYNC1LI1","dynein cytoplasmic 1 light intermediate chain 1","3","3p22.3"
"DYNC1LI2","DYNC1LI2","DYNC1LI2","dynein cytoplasmic 1 light intermediate chain 2","16","16q22.1"
"DYNLL1","DYNLL1","DYNLL1","dynein light chain LC8-type 1","12","12q24.31"
"DYNLL2","DYNLL2","DYNLL2","dynein light chain LC8-type 2","17","17q22"
"DYNLRB1","DYNLRB1","DYNLRB1","dynein light chain roadblock-type 1","20","20q11.22"
"DYNLT1","DYNLT1","DYNLT1","dynein light chain Tctex-type 1","6","6q25.3"
"DYNLT3","DYNLT3","DYNLT3","dynein light chain Tctex-type 3","X","Xp11.4"
"DYRK1A","DYRK1A","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A","21","21q22.13"
"E2F3","E2F3","E2F3","E2F transcription factor 3","6","6p22.3"
"E2F4","E2F4","E2F4","E2F transcription factor 4","16","16q22.1"
"E4F1","E4F1","E4F1","E4F transcription factor 1","16","16p13.3"
"EAPP","EAPP","EAPP","E2F associated phosphoprotein","14","14q13.1"
"EARS2","EARS2","EARS2","glutamyl-tRNA synthetase 2, mitochondrial","16","16p12.2"
"EBF2","EBF2","EBF2","EBF transcription factor 2","8","8p21.2"
"EBNA1BP2","EBNA1BP2","EBNA1BP2","EBNA1 binding protein 2","1","1p34.2"
"EBP","EBP","EBP","EBP, cholestenol delta-isomerase","X","Xp11.23"
"ECD","ECD","ECD","ecdysoneless cell cycle regulator","10","10q22.2"
"ECE1","ECE1","ECE1","endothelin converting enzyme 1","1","1p36.12"
"ECH1","ECH1","ECH1","enoyl-CoA hydratase 1","19","19q13.2"
"ECHDC1","ECHDC1","ECHDC1","ethylmalonyl-CoA decarboxylase 1","6","6q22.33"
"ECHDC2","ECHDC2","ECHDC2","enoyl-CoA hydratase domain containing 2","1","1p32.3"
"ECHS1","ECHS1","ECHS1","enoyl-CoA hydratase, short chain 1","10","10q26.3"
"ECI1","ECI1","ECI1;DCI","enoyl-CoA delta isomerase 1","16","16p13.3"
"ECI2","ECI2","ECI2","enoyl-CoA delta isomerase 2","6","6p25.2"
"ECM29","ECM29","ECM29",NA,NA,NA
"ECSIT","ECSIT","ECSIT","ECSIT signalling integrator","19","19p13.2"
"ECT2","ECT2","ECT2","epithelial cell transforming 2","3","3q26.31"
"EDC3","EDC3","EDC3","enhancer of mRNA decapping 3","15","15q24.1"
"EDC4","EDC4","EDC4","enhancer of mRNA decapping 4","16","16q22.1"
"EDEM1","EDEM1","EDEM1","ER degradation enhancing alpha-mannosidase like protein 1","3","3p26.1"
"EDF1","EDF1","EDF1","endothelial differentiation related factor 1","9","9q34.3"
"EDRF1","EDRF1","EDRF1","erythroid differentiation regulatory factor 1","10","10q26.2"
"EEA1","EEA1","EEA1","early endosome antigen 1","12","12q22"
"EED","EED","EED","embryonic ectoderm development","11","11q14.2"
"EEF1A1","EEF1A1","EEF1A1;EEF1A1P5","eukaryotic translation elongation factor 1 alpha 1","6","6q13"
"EEF1B2","EEF1B2","EEF1B2","eukaryotic translation elongation factor 1 beta 2","2","2q33.3"
"EEF1D","EEF1D","EEF1D","eukaryotic translation elongation factor 1 delta","8","8q24.3"
"EEF1E1","EEF1E1","EEF1E1","eukaryotic translation elongation factor 1 epsilon 1","6","6p24.3"
"EEF1G","EEF1G","EEF1G","eukaryotic translation elongation factor 1 gamma","11","11q12.3"
"EEF2","EEF2","EEF2","eukaryotic translation elongation factor 2","19","19p13.3"
"EEF2K","EEF2K","EEF2K","eukaryotic elongation factor 2 kinase","16","16p12.2"
"EEFSEC","EEFSEC","EEFSEC","eukaryotic elongation factor, selenocysteine-tRNA specific","3","3q21.3"
"EEPD1","EEPD1","EEPD1","endonuclease/exonuclease/phosphatase family domain containing 1","7","7p14.2"
"EFCAB4B","EFCAB4B","EFCAB4B",NA,NA,NA
"EFEMP1","EFEMP1","EFEMP1","EGF containing fibulin extracellular matrix protein 1","2","2p16.1"
"EFHA1","EFHA1","EFHA1",NA,NA,NA
"EFHD1","EFHD1","EFHD1","EF-hand domain family member D1","2","2q37.1"
"EFHD2","EFHD2","EFHD2","EF-hand domain family member D2","1","1p36.21"
"EFR3A","EFR3A","EFR3A","EFR3 homolog A","8","8q24.22"
"EFTUD1","EFTUD1","EFTUD1",NA,NA,NA
"EFTUD2","EFTUD2","EFTUD2","elongation factor Tu GTP binding domain containing 2","17","17q21.31"
"EGLN1","EGLN1","EGLN1","egl-9 family hypoxia inducible factor 1","1","1q42.2"
"EGR1","EGR1","EGR1","early growth response 1","5","5q31.2"
"EGR2","EGR2","EGR2","early growth response 2","10","10q21.3"
"EGR3","EGR3","EGR3","early growth response 3","8","8p21.3"
"EHBP1","EHBP1","EHBP1","EH domain binding protein 1","2","2p15"
"EHBP1L1","EHBP1L1","EHBP1L1","EH domain binding protein 1 like 1","11","11q13.1"
"EHD1","EHD1","EHD1","EH domain containing 1","11","11q13.1"
"EHD4","EHD4","EHD4","EH domain containing 4","15","15q15.1"
"EHMT1","EHMT1","EHMT1","euchromatic histone lysine methyltransferase 1","9","9q34.3"
"EHMT2","EHMT2","EHMT2","euchromatic histone lysine methyltransferase 2","6","6p21.33"
"EIF1","EIF1","EIF1","eukaryotic translation initiation factor 1","17","17q21.2"
"EIF1AD","EIF1AD","EIF1AD","eukaryotic translation initiation factor 1A domain containing","11","11q13.1"
"EIF1AX","EIF1AX","EIF1AX","eukaryotic translation initiation factor 1A X-linked","X","Xp22.12"
"EIF1AY","EIF1AY","EIF1AY","eukaryotic translation initiation factor 1A Y-linked","Y","Yq11.223"
"EIF1B","EIF1B","EIF1B","eukaryotic translation initiation factor 1B","3","3p22.1"
"EIF2A","EIF2A","EIF2A","eukaryotic translation initiation factor 2A","3","3q25.1"
"EIF2AK2","EIF2AK2","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","2","2p22.2"
"EIF2AK4","EIF2AK4","EIF2AK4","eukaryotic translation initiation factor 2 alpha kinase 4","15","15q15.1"
"EIF2B1","EIF2B1","EIF2B1","eukaryotic translation initiation factor 2B subunit alpha","12","12q24.31"
"EIF2B2","EIF2B2","EIF2B2","eukaryotic translation initiation factor 2B subunit beta","14","14q24.3"
"EIF2B3","EIF2B3","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma","1","1p34.1"
"EIF2B4","EIF2B4","EIF2B4","eukaryotic translation initiation factor 2B subunit delta","2","2p23.3"
"EIF2B5","EIF2B5","EIF2B5","eukaryotic translation initiation factor 2B subunit epsilon","3","3q27.1"
"EIF2C1","EIF2C1","EIF2C1",NA,NA,NA
"EIF2C2","EIF2C2","EIF2C2",NA,NA,NA
"EIF2C3","EIF2C3","EIF2C3",NA,NA,NA
"EIF2D","EIF2D","EIF2D","eukaryotic translation initiation factor 2D","1","1q32.1"
"EIF2S1","EIF2S1","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha","14","14q23.3"
"EIF2S2","EIF2S2","EIF2S2","eukaryotic translation initiation factor 2 subunit beta","20","20q11.22"
"EIF2S3","EIF2S3","EIF2S3;EIF2S3L","eukaryotic translation initiation factor 2 subunit gamma","X","Xp22.11"
"EIF3A","EIF3A","EIF3A","eukaryotic translation initiation factor 3 subunit A","10","10q26.11"
"EIF3B","EIF3B","EIF3B","eukaryotic translation initiation factor 3 subunit B","7","7p22.3"
"EIF3C","EIF3C","EIF3C;EIF3CL","eukaryotic translation initiation factor 3 subunit C","16","16p11.2"
"EIF3D","EIF3D","EIF3D","eukaryotic translation initiation factor 3 subunit D","22","22q12.3"
"EIF3E","EIF3E","EIF3E","eukaryotic translation initiation factor 3 subunit E","8","8q23.1"
"EIF3F","EIF3F","EIF3F","eukaryotic translation initiation factor 3 subunit F","11","11p15.4"
"EIF3G","EIF3G","EIF3G","eukaryotic translation initiation factor 3 subunit G","19","19p13.2"
"EIF3H","EIF3H","EIF3H;EIF3S3","eukaryotic translation initiation factor 3 subunit H","8","8q23.3-q24.11"
"EIF3I","EIF3I","EIF3I","eukaryotic translation initiation factor 3 subunit I","1","1p35.2"
"EIF3J","EIF3J","EIF3J","eukaryotic translation initiation factor 3 subunit J","15","15q21.1"
"EIF3K","EIF3K","EIF3K","eukaryotic translation initiation factor 3 subunit K","19","19q13.2"
"EIF3L","EIF3L","EIF3L;EIF3EIP","eukaryotic translation initiation factor 3 subunit L","22","22q13.1"
"EIF3M","EIF3M","EIF3M","eukaryotic translation initiation factor 3 subunit M","11","11p13"
"EIF4A1","EIF4A1","EIF4A1","eukaryotic translation initiation factor 4A1","17","17p13.1"
"EIF4A2","EIF4A2","EIF4A2","eukaryotic translation initiation factor 4A2","3","3q27.3"
"EIF4A3","EIF4A3","EIF4A3","eukaryotic translation initiation factor 4A3","17","17q25.3"
"EIF4B","EIF4B","EIF4B","eukaryotic translation initiation factor 4B","12","12q13.13"
"EIF4E","EIF4E","EIF4E","eukaryotic translation initiation factor 4E","4","4q23"
"EIF4E2","EIF4E2","EIF4E2","eukaryotic translation initiation factor 4E family member 2","2","2q37.1"
"EIF4E3","EIF4E3","EIF4E3","eukaryotic translation initiation factor 4E family member 3","3","3p13"
"EIF4EBP1","EIF4EBP1","EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","8","8p11.23"
"EIF4EBP2","EIF4EBP2","EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2","10","10q22.1"
"EIF4EBP3","EIF4EBP3","EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3","5","5q31.3"
"EIF4ENIF1","EIF4ENIF1","EIF4ENIF1","eukaryotic translation initiation factor 4E nuclear import factor 1","22","22q12.2"
"EIF4G1","EIF4G1","EIF4G1","eukaryotic translation initiation factor 4 gamma 1","3","3q27.1"
"EIF4G2","EIF4G2","EIF4G2","eukaryotic translation initiation factor 4 gamma 2","11","11p15.4"
"EIF4G3","EIF4G3","EIF4G3","eukaryotic translation initiation factor 4 gamma 3","1","1p36.12"
"EIF5","EIF5","EIF5","eukaryotic translation initiation factor 5","14","14q32.32"
"EIF5A","EIF5A","EIF5A;EIF5AL1","eukaryotic translation initiation factor 5A","17","17p13.1"
"EIF5A2","EIF5A2","EIF5A2","eukaryotic translation initiation factor 5A2","3","3q26.2"
"EIF5B","EIF5B","EIF5B","eukaryotic translation initiation factor 5B","2","2q11.2"
"EIF6","EIF6","EIF6","eukaryotic translation initiation factor 6","20","20q11.22"
"ELAC1","ELAC1","ELAC1","elaC ribonuclease Z 1","18","18q21.2"
"ELAC2","ELAC2","ELAC2","elaC ribonuclease Z 2","17","17p12"
"ELAVL1","ELAVL1","ELAVL1","ELAV like RNA binding protein 1","19","19p13.2"
"ELF1","ELF1","ELF1","E74 like ETS transcription factor 1","13","13q14.11"
"ELF2","ELF2","ELF2","E74 like ETS transcription factor 2","4","4q31.1"
"ELF4","ELF4","ELF4","E74 like ETS transcription factor 4","X","Xq26.1"
"ELK1","ELK1","ELK1","ELK1, ETS transcription factor","X","Xp11.23"
"ELL","ELL","ELL","elongation factor for RNA polymerase II","19","19p13.11"
"ELMO1","ELMO1","ELMO1","engulfment and cell motility 1","7","7p14.2-p14.1"
"ELMO2","ELMO2","ELMO2","engulfment and cell motility 2","20","20q13.12"
"ELMOD2","ELMOD2","ELMOD2","ELMO domain containing 2","4","4q31.1"
"ELOF1","ELOF1","ELOF1","elongation factor 1 homolog","19","19p13.2"
"ELOVL1","ELOVL1","ELOVL1","ELOVL fatty acid elongase 1","1","1p34.2"
"ELOVL5","ELOVL5","ELOVL5","ELOVL fatty acid elongase 5","6","6p12.1"
"ELP2","ELP2","ELP2","elongator acetyltransferase complex subunit 2","18","18q12.2"
"ELP3","ELP3","ELP3","elongator acetyltransferase complex subunit 3","8","8p21.1"
"ELP4","ELP4","ELP4","elongator acetyltransferase complex subunit 4","11","11p13"
"EMB","EMB","EMB","embigin","5","5q11.1"
"EMC1","EMC1","EMC1","ER membrane protein complex subunit 1","1","1p36.13"
"EMC10","EMC10","EMC10","ER membrane protein complex subunit 10","19","19q13.33"
"EMC2","EMC2","EMC2","ER membrane protein complex subunit 2","8","8q23.1"
"EMC3","EMC3","EMC3","ER membrane protein complex subunit 3","3","3p25.3"
"EMC4","EMC4","EMC4","ER membrane protein complex subunit 4","15","15q14"
"EMC6","EMC6","EMC6","ER membrane protein complex subunit 6","17","17p13.2"
"EMC7","EMC7","EMC7;C15orf24","ER membrane protein complex subunit 7","15","15q14"
"EMC8","EMC8","EMC8","ER membrane protein complex subunit 8","16","16q24.1"
"EMC9","EMC9","EMC9;FAM158A","ER membrane protein complex subunit 9","14","14q12"
"EMD","EMD","EMD","emerin","X","Xq28"
"EMG1","EMG1","EMG1","EMG1, N1-specific pseudouridine methyltransferase","12","12p13.31"
"EML2","EML2","EML2","echinoderm microtubule associated protein like 2","19","19q13.32"
"EML3","EML3","EML3","echinoderm microtubule associated protein like 3","11","11q12.3"
"EML4","EML4","EML4","echinoderm microtubule associated protein like 4","2","2p21"
"EMP3","EMP3","EMP3","epithelial membrane protein 3","19","19q13.33"
"EMSY","EMSY","EMSY;C11orf30","EMSY, BRCA2 interacting transcriptional repressor","11","11q13.5"
"ENDOD1","ENDOD1","ENDOD1","endonuclease domain containing 1","11","11q21"
"ENDOG","ENDOG","ENDOG","endonuclease G","9","9q34.11"
"ENG","ENG","ENG","endoglin","9","9q34.11"
"ENGASE","ENGASE","ENGASE","endo-beta-N-acetylglucosaminidase","17","17q25.3"
"ENO1","ENO1","ENO1","enolase 1","1","1p36.23"
"ENO2","ENO2","ENO2","enolase 2","12","12p13.31"
"ENO3","ENO3","ENO3","enolase 3","17","17p13.2"
"ENOPH1","ENOPH1","ENOPH1","enolase-phosphatase 1","4","4q21.22"
"ENOSF1","ENOSF1","ENOSF1","enolase superfamily member 1","18","18p11.32"
"ENOX2","ENOX2","ENOX2","ecto-NOX disulfide-thiol exchanger 2","X","Xq26.1"
"ENPP4","ENPP4","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","6","6p21.1"
"ENSA","ENSA","ENSA","endosulfine alpha","1","1q21.3"
"ENY2","ENY2","ENY2","ENY2, transcription and export complex 2 subunit","8","8q23.1"
"EOGT","EOGT","EOGT","EGF domain specific O-linked N-acetylglucosamine transferase","3","3p14.1"
"EP300","EP300","EP300","E1A binding protein p300","22","22q13.2"
"EP400","EP400","EP400","E1A binding protein p400","12","12q24.33"
"EPB41","EPB41","EPB41","erythrocyte membrane protein band 4.1","1","1p35.3"
"EPB41L2","EPB41L2","EPB41L2","erythrocyte membrane protein band 4.1 like 2","6","6q23.1-q23.2"
"EPB41L3","EPB41L3","EPB41L3","erythrocyte membrane protein band 4.1 like 3","18","18p11.31"
"EPB49","EPB49","EPB49",NA,NA,NA
"EPC1","EPC1","EPC1","enhancer of polycomb homolog 1","10","10p11.22"
"EPC2","EPC2","EPC2","enhancer of polycomb homolog 2","2","2q23.1"
"EPG5","EPG5","EPG5","ectopic P-granules autophagy protein 5 homolog","18","18q12.3-q21.1"
"EPHA1","EPHA1","EPHA1","EPH receptor A1","7","7q34-q35"
"EPHB6","EPHB6","EPHB6","EPH receptor B6","7","7q34"
"EPHX2","EPHX2","EPHX2","epoxide hydrolase 2","8","8p21.2-p21.1"
"EPM2AIP1","EPM2AIP1","EPM2AIP1","EPM2A interacting protein 1","3","3p22.2"
"EPN1","EPN1","EPN1","epsin 1","19","19q13.42"
"EPPK1","EPPK1","EPPK1","epiplakin 1","8","8q24.3"
"EPRS","EPRS","EPRS","glutamyl-prolyl-tRNA synthetase","1","1q41"
"EPS15","EPS15","EPS15","epidermal growth factor receptor pathway substrate 15","1","1p32.3"
"EPS15L1","EPS15L1","EPS15L1","epidermal growth factor receptor pathway substrate 15 like 1","19","19p13.11"
"EPS8L2","EPS8L2","EPS8L2","EPS8 like 2","11","11p15.5"
"EPT1","EPT1","EPT1",NA,NA,NA
"ERAL1","ERAL1","ERAL1","Era like 12S mitochondrial rRNA chaperone 1","17","17q11.2"
"ERAP1","ERAP1","ERAP1","endoplasmic reticulum aminopeptidase 1","5","5q15"
"ERAP2","ERAP2","ERAP2","endoplasmic reticulum aminopeptidase 2","5","5q15"
"ERBB2IP","ERBB2IP","ERBB2IP",NA,NA,NA
"ERC1","ERC1","ERC1","ELKS/RAB6-interacting/CAST family member 1","12","12p13.33"
"ERC2","ERC2","ERC2","ELKS/RAB6-interacting/CAST family member 2","3","3p14.3"
"ERCC1","ERCC1","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit","19","19q13.32"
"ERCC2","ERCC2","ERCC2","ERCC excision repair 2, TFIIH core complex helicase subunit","19","19q13.32"
"ERCC3","ERCC3","ERCC3","ERCC excision repair 3, TFIIH core complex helicase subunit","2","2q14.3"
"ERCC4","ERCC4","ERCC4","ERCC excision repair 4, endonuclease catalytic subunit","16","16p13.12"
"ERCC5","ERCC5","ERCC5","ERCC excision repair 5, endonuclease","13","13q33.1"
"ERCC6","ERCC6","ERCC6","ERCC excision repair 6, chromatin remodeling factor","10","10q11.23"
"ERCC6L","ERCC6L","ERCC6L","ERCC excision repair 6 like, spindle assembly checkpoint helicase","X","Xq13.1"
"ERF","ERF","ERF","ETS2 repressor factor","19","19q13.2"
"ERGIC1","ERGIC1","ERGIC1","endoplasmic reticulum-golgi intermediate compartment 1","5","5q35.1"
"ERGIC2","ERGIC2","ERGIC2","ERGIC and golgi 2","12","12p11.22"
"ERGIC3","ERGIC3","ERGIC3","ERGIC and golgi 3","20","20q11.22"
"ERH","ERH","ERH","ERH, mRNA splicing and mitosis factor","14","14q24.1"
"ERI1","ERI1","ERI1","exoribonuclease 1","8","8p23.1"
"ERICH1","ERICH1","ERICH1","glutamate rich 1","8","8p23.3"
"ERLEC1","ERLEC1","ERLEC1","endoplasmic reticulum lectin 1","2","2p16.2"
"ERLIN1","ERLIN1","ERLIN1","ER lipid raft associated 1","10","10q24.31"
"ERLIN2","ERLIN2","ERLIN2","ER lipid raft associated 2","8","8p11.23"
"ERMP1","ERMP1","ERMP1","endoplasmic reticulum metallopeptidase 1","9","9p24.1"
"ERO1L","ERO1L","ERO1L",NA,NA,NA
"ERP29","ERP29","ERP29","endoplasmic reticulum protein 29","12","12q24.13"
"ERP44","ERP44","ERP44","endoplasmic reticulum protein 44","9","9q31.1"
"ESCO2","ESCO2","ESCO2","establishment of sister chromatid cohesion N-acetyltransferase 2","8","8p21.1"
"ESD","ESD","ESD","esterase D","13","13q14.2"
"ESF1","ESF1","ESF1","ESF1 nucleolar pre-rRNA processing protein homolog","20","20p12.1"
"ESPL1","ESPL1","ESPL1","extra spindle pole bodies like 1, separase","12","12q13.13"
"ESRRA","ESRRA","ESRRA","estrogen related receptor alpha","11","11q13.1"
"ESYT2","ESYT2","ESYT2","extended synaptotagmin 2","7","7q36.3"
"ETAA1","ETAA1","ETAA1","ETAA1, ATR kinase activator","2","2p14"
"ETF1","ETF1","ETF1","eukaryotic translation termination factor 1","5","5q31.2"
"ETFA","ETFA","ETFA","electron transfer flavoprotein subunit alpha","15","15q24.2-q24.3"
"ETFB","ETFB","ETFB","electron transfer flavoprotein subunit beta","19","19q13.41"
"ETFDH","ETFDH","ETFDH","electron transfer flavoprotein dehydrogenase","4","4q32.1"
"ETHE1","ETHE1","ETHE1","ETHE1, persulfide dioxygenase","19","19q13.31"
"ETNK1","ETNK1","ETNK1","ethanolamine kinase 1","12","12p12.1"
"ETS1","ETS1","ETS1","ETS proto-oncogene 1, transcription factor","11","11q24.3"
"ETV3","ETV3","ETV3","ETS variant 3","1","1q23.1"
"ETV6","ETV6","ETV6","ETS variant 6","12","12p13.2"
"EURL","EURL","EURL;C21orf91",NA,NA,NA
"EVI2B","EVI2B","EVI2B","ecotropic viral integration site 2B","17","17q11.2"
"EVI5L","EVI5L","EVI5L","ecotropic viral integration site 5 like","19","19p13.2"
"EVL","EVL","EVL","Enah/Vasp-like","14","14q32.2"
"EWSR1","EWSR1","EWSR1","EWS RNA binding protein 1","22","22q12.2"
"EXD2","EXD2","EXD2","exonuclease 3'-5' domain containing 2","14","14q24.1"
"EXO1","EXO1","EXO1","exonuclease 1","1","1q43"
"EXOC1","EXOC1","EXOC1","exocyst complex component 1","4","4q12"
"EXOC2","EXOC2","EXOC2","exocyst complex component 2","6","6p25.3"
"EXOC3","EXOC3","EXOC3","exocyst complex component 3","5","5p15.33"
"EXOC4","EXOC4","EXOC4","exocyst complex component 4","7","7q33"
"EXOC5","EXOC5","EXOC5","exocyst complex component 5","14","14q22.3"
"EXOC6","EXOC6","EXOC6","exocyst complex component 6","10","10q23.33"
"EXOC6B","EXOC6B","EXOC6B","exocyst complex component 6B","2","2p13.2"
"EXOC7","EXOC7","EXOC7","exocyst complex component 7","17","17q25.1"
"EXOC8","EXOC8","EXOC8","exocyst complex component 8","1","1q42.2"
"EXOG","EXOG","EXOG","exo/endonuclease G","3","3p22.2"
"EXOSC1","EXOSC1","EXOSC1;RP11-452K12.9","exosome component 1","10","10q24.1"
"EXOSC10","EXOSC10","EXOSC10","exosome component 10","1","1p36.22"
"EXOSC2","EXOSC2","EXOSC2","exosome component 2","9","9q34.12"
"EXOSC3","EXOSC3","EXOSC3","exosome component 3","9","9p13.2"
"EXOSC4","EXOSC4","EXOSC4","exosome component 4","8","8q24.3"
"EXOSC5","EXOSC5","EXOSC5","exosome component 5","19","19q13.2"
"EXOSC6","EXOSC6","EXOSC6","exosome component 6","16","16q22.1"
"EXOSC7","EXOSC7","EXOSC7","exosome component 7","3","3p21.31"
"EXOSC8","EXOSC8","EXOSC8","exosome component 8","13","13q13.3"
"EXOSC9","EXOSC9","EXOSC9","exosome component 9","4","4q27"
"EYA3","EYA3","EYA3","EYA transcriptional coactivator and phosphatase 3","1","1p35.3"
"EZH1","EZH1","EZH1","enhancer of zeste 1 polycomb repressive complex 2 subunit","17","17q21.2"
"EZH2","EZH2","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","7","7q36.1"
"EZR","EZR","EZR","ezrin","6","6q25.3"
"F10","F10","F10","coagulation factor X","13","13q34"
"F11R","F11R","F11R","F11 receptor","1","1q23.3"
"F12","F12","F12","coagulation factor XII","5","5q35.3"
"F13B","F13B","F13B","coagulation factor XIII B chain","1","1q31.3"
"F2","F2","F2","coagulation factor II, thrombin","11","11p11.2"
"F5","F5","F5","coagulation factor V","1","1q24.2"
"F8A1","F8A1","F8A1","coagulation factor VIII associated 1","X","Xq28"
"F9","F9","F9","coagulation factor IX","X","Xq27.1"
"FAAP100","FAAP100","FAAP100","FA core complex associated protein 100","17","17q25.3"
"FABP5","FABP5","FABP5","fatty acid binding protein 5","8","8q21.13"
"FADD","FADD","FADD","Fas associated via death domain","11","11q13.3"
"FADS2","FADS2","FADS2","fatty acid desaturase 2","11","11q12.2"
"FAF1","FAF1","FAF1","Fas associated factor 1","1","1p32.3"
"FAF2","FAF2","FAF2","Fas associated factor family member 2","5","5q35.2"
"FAH","FAH","FAH;DKFZp686F13224","fumarylacetoacetate hydrolase","15","15q25.1"
"FAHD1","FAHD1","FAHD1","fumarylacetoacetate hydrolase domain containing 1","16","16p13.3"
"FAHD2A","FAHD2A","FAHD2A","fumarylacetoacetate hydrolase domain containing 2A","2","2q11.1"
"FAHD2B","FAHD2B","FAHD2B","fumarylacetoacetate hydrolase domain containing 2B","2","2q11.2"
"FAIM3","FAIM3","FAIM3",NA,NA,NA
"FAM101B","FAM101B","FAM101B",NA,NA,NA
"FAM102A","FAM102A","FAM102A","family with sequence similarity 102 member A","9","9q34.11"
"FAM102B","FAM102B","FAM102B","family with sequence similarity 102 member B","1","1p13.3"
"FAM103A1","FAM103A1","FAM103A1",NA,NA,NA
"FAM104A","FAM104A","FAM104A","family with sequence similarity 104 member A","17","17q25.1"
"FAM105A","FAM105A","FAM105A",NA,NA,NA
"FAM105B","FAM105B","FAM105B",NA,NA,NA
"FAM107B","FAM107B","FAM107B","family with sequence similarity 107 member B","10","10p13"
"FAM108A1","FAM108A1","FAM108A1",NA,NA,NA
"FAM111A","FAM111A","FAM111A","family with sequence similarity 111 member A","11","11q12.1"
"FAM111B","FAM111B","FAM111B","family with sequence similarity 111 member B","11","11q12.1"
"FAM114A2","FAM114A2","FAM114A2","family with sequence similarity 114 member A2","5","5q33.2"
"FAM115A","FAM115A","FAM115A",NA,NA,NA
"FAM115C","FAM115C","FAM115C",NA,NA,NA
"FAM117A","FAM117A","FAM117A","family with sequence similarity 117 member A","17","17q21.33"
"FAM117B","FAM117B","FAM117B","family with sequence similarity 117 member B","2","2q33.2"
"FAM118B","FAM118B","FAM118B","family with sequence similarity 118 member B","11","11q24.2"
"FAM120A","FAM120A","FAM120A","family with sequence similarity 120A","9","9q22.31"
"FAM120B","FAM120B","FAM120B","family with sequence similarity 120B","6","6q27"
"FAM120C","FAM120C","FAM120C","family with sequence similarity 120C","X","Xp11.22"
"FAM122A","FAM122A","FAM122A","family with sequence similarity 122A","9","9q21.11"
"FAM122B","FAM122B","FAM122B","family with sequence similarity 122B","X","Xq26.3"
"FAM125A","FAM125A","FAM125A",NA,NA,NA
"FAM126A","FAM126A","FAM126A","family with sequence similarity 126 member A","7","7p15.3"
"FAM126B","FAM126B","FAM126B","family with sequence similarity 126 member B","2","2q33.1"
"FAM127A","FAM127A","FAM127A;FAM127B;FAM127C",NA,NA,NA
"FAM129A","FAM129A","FAM129A","family with sequence similarity 129 member A","1","1q25.3"
"FAM129B","FAM129B","FAM129B","family with sequence similarity 129 member B","9","9q34.11"
"FAM133B","FAM133B","FAM133B;FAM133A","family with sequence similarity 133 member B","7","7q21.2"
"FAM134A","FAM134A","FAM134A",NA,NA,NA
"FAM134C","FAM134C","FAM134C",NA,NA,NA
"FAM136A","FAM136A","FAM136A","family with sequence similarity 136 member A","2","2p13.3"
"FAM160B1","FAM160B1","FAM160B1","family with sequence similarity 160 member B1","10","10q25.3"
