"ensemble_id","gene_name","description"
"ENSG00000171574","ZNF584","zinc finger protein 584 [Source:HGNC Symbol;Acc:HGNC:27318]"
"ENSG00000130656","HBZ","hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]"
"ENSG00000163848","ZNF148","zinc finger protein 148 [Source:HGNC Symbol;Acc:HGNC:12933]"
"ENSG00000130812","ANGPTL6","angiopoietin like 6 [Source:HGNC Symbol;Acc:HGNC:23140]"
"ENSG00000174564","IL20RB","interleukin 20 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6004]"
"ENSG00000153832","FBXO36","F-box protein 36 [Source:HGNC Symbol;Acc:HGNC:27020]"
"ENSG00000206177","HBM","hemoglobin subunit mu [Source:HGNC Symbol;Acc:HGNC:4826]"
"ENSG00000144559","TAMM41","TAM41 mitochondrial translocator assembly and maintenance homolog [Source:HGNC Symbol;Acc:HGNC:25187]"
"ENSG00000184194","GPR173","G protein-coupled receptor 173 [Source:HGNC Symbol;Acc:HGNC:18186]"
"ENSG00000104369","JPH1","junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]"
"ENSG00000012232","EXTL3","exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]"
"ENSG00000158092","NCK1","NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]"
"ENSG00000130813","SHFL","shiftless antiviral inhibitor of ribosomal frameshifting [Source:HGNC Symbol;Acc:HGNC:25649]"
"ENSG00000175556","LONRF3","LON peptidase N-terminal domain and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:21152]"
"ENSG00000269855","RNF225","ring finger protein 225 [Source:HGNC Symbol;Acc:HGNC:51249]"
"ENSG00000124466","LYPD3","LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]"
"ENSG00000099364","FBXL19","F-box and leucine rich repeat protein 19 [Source:HGNC Symbol;Acc:HGNC:25300]"
"ENSG00000104381","GDAP1","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"ENSG00000276572","KIR3DL3","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]"
"ENSG00000174842","GLMN","glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]"
"ENSG00000175938","ORAI3","ORAI calcium release-activated calcium modulator 3 [Source:HGNC Symbol;Acc:HGNC:28185]"
"ENSG00000168917","SLC35G2","solute carrier family 35 member G2 [Source:HGNC Symbol;Acc:HGNC:28480]"
"ENSG00000131126","TEX101","testis expressed 101 [Source:HGNC Symbol;Acc:HGNC:30722]"
"ENSG00000146242","TPBG","trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]"
"ENSG00000236802","B3GALT4","beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]"
"ENSG00000089154","GCN1","GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]"
"ENSG00000122484","RPAP2","RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]"
"ENSG00000159899","NPR2","natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]"
"ENSG00000184374","COLEC10","collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220]"
"ENSG00000163638","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]"
"ENSG00000215126","CBWD6","COBW domain containing 6 [Source:HGNC Symbol;Acc:HGNC:31978]"
"ENSG00000160305","DIP2A","disco interacting protein 2 homolog A [Source:HGNC Symbol;Acc:HGNC:17217]"
"ENSG00000163600","ICOS","inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]"
"ENSG00000135249","RINT1","RAD50 interactor 1 [Source:HGNC Symbol;Acc:HGNC:21876]"
"ENSG00000115718","PROC","protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]"
"ENSG00000078328","RBFOX1","RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222]"
"ENSG00000137098","SPAG8","sperm associated antigen 8 [Source:HGNC Symbol;Acc:HGNC:14105]"
"ENSG00000140832","MARVELD3","MARVEL domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30525]"
"ENSG00000169427","KCNK9","potassium two pore domain channel subfamily K member 9 [Source:HGNC Symbol;Acc:HGNC:6283]"
"ENSG00000130783","CCDC62","coiled-coil domain containing 62 [Source:HGNC Symbol;Acc:HGNC:30723]"
"ENSG00000123349","PFDN5","prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869]"
"ENSG00000151148","UBE3B","ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478]"
"ENSG00000230456","DDR1","discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]"
"ENSG00000150281","CTF1","cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]"
"ENSG00000108829","LRRC59","leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:HGNC:28817]"
"ENSG00000140990","NDUFB10","NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]"
"ENSG00000183309","ZNF623","zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084]"
"ENSG00000158169","FANCC","FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584]"
"ENSG00000147262","GPR119","G protein-coupled receptor 119 [Source:HGNC Symbol;Acc:HGNC:19060]"
"ENSG00000242875","RBMY1B","RNA binding motif protein Y-linked family 1 member B [Source:HGNC Symbol;Acc:HGNC:23914]"
"ENSG00000036054","TBC1D23","TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]"
"ENSG00000099385","BCL7C","BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006]"
"ENSG00000080845","DLGAP4","DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]"
"ENSG00000185262","UBALD2","UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]"
"ENSG00000181722","ZBTB20","zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]"
"ENSG00000173083","HPSE","heparanase [Source:HGNC Symbol;Acc:HGNC:5164]"
"ENSG00000282318","DLGAP2","DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]"
"ENSG00000174562","KLK15","kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]"
"ENSG00000101335","MYL9","myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]"
"ENSG00000176679","TGIF2LY","TGFB induced factor homeobox 2 like Y-linked [Source:HGNC Symbol;Acc:HGNC:18569]"
"ENSG00000156113","KCNMA1","potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]"
"ENSG00000079112","CDH17","cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]"
"ENSG00000170417","TMEM182","transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391]"
"ENSG00000116641","DOCK7","dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]"
"ENSG00000124429","POF1B","POF1B actin binding protein [Source:HGNC Symbol;Acc:HGNC:13711]"
"ENSG00000182667","NTM","neurotrimin [Source:HGNC Symbol;Acc:HGNC:17941]"
"ENSG00000139726","DENR","density regulated re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:2769]"
"ENSG00000167748","KLK1","kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]"
"ENSG00000136021","SCYL2","SCY1 like pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:19286]"
"ENSG00000196917","HCAR1","hydroxycarboxylic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4532]"
"ENSG00000154263","ABCA10","ATP binding cassette subfamily A member 10 [Source:HGNC Symbol;Acc:HGNC:30]"
"ENSG00000182782","HCAR2","hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]"
"ENSG00000255398","HCAR3","hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824]"
"ENSG00000167283","ATP5MG","ATP synthase membrane subunit g [Source:HGNC Symbol;Acc:HGNC:14247]"
"ENSG00000172425","TTC36","tetratricopeptide repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:33708]"
"ENSG00000107957","SH3PXD2A","SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]"
"ENSG00000176658","MYO1D","myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]"
"ENSG00000160785","SLC25A44","solute carrier family 25 member 44 [Source:HGNC Symbol;Acc:HGNC:29036]"
"ENSG00000178573","MAF","MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]"
"ENSG00000103061","SLC7A6OS","solute carrier family 7 member 6 opposite strand [Source:HGNC Symbol;Acc:HGNC:25807]"
"ENSG00000186432","KPNA4","karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]"
"ENSG00000165066","NKX6-3","NK6 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:26328]"
"ENSG00000115866","DARS1","aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]"
"ENSG00000083845","RPS5","ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]"
"ENSG00000178562","CD28","CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]"
"ENSG00000168135","KCNJ4","potassium inwardly rectifying channel subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:6265]"
"ENSG00000178235","SLITRK1","SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]"
"ENSG00000102870","ZNF629","zinc finger protein 629 [Source:NCBI gene;Acc:23361]"
"ENSG00000118096","IFT46","intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146]"
"ENSG00000131480","AOC2","amine oxidase copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549]"
"ENSG00000101890","GUCY2F","guanylate cyclase 2F, retinal [Source:HGNC Symbol;Acc:HGNC:4691]"
"ENSG00000285827","AP001267.5","novel protein"
"ENSG00000128059","PPAT","phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]"
"ENSG00000104290","FZD3","frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]"
"ENSG00000160352","ZNF714","zinc finger protein 714 [Source:HGNC Symbol;Acc:HGNC:27124]"
"ENSG00000088448","ANKRD10","ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]"
"ENSG00000121898","CPXM2","carboxypeptidase X, M14 family member 2 [Source:HGNC Symbol;Acc:HGNC:26977]"
"ENSG00000142208","AKT1","AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]"
"ENSG00000118473","SGIP1","SH3GL interacting endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:25412]"
"ENSG00000137824","RMDN3","regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]"
"ENSG00000212993","POU5F1B","POU class 5 homeobox 1B [Source:HGNC Symbol;Acc:HGNC:9223]"
"ENSG00000266524","GDF10","growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]"
"ENSG00000168672","LRATD2","LRAT domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24166]"
"ENSG00000155511","GRIA1","glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]"
"ENSG00000148341","SH3GLB2","SH3 domain containing GRB2 like, endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]"
"ENSG00000147475","ERLIN2","ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]"
"ENSG00000188215","DCUN1D3","defective in cullin neddylation 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28734]"
"ENSG00000225824","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]"
"ENSG00000104626","ERI1","exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]"
"ENSG00000105605","CACNG7","calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]"
"ENSG00000177842","ZNF620","zinc finger protein 620 [Source:HGNC Symbol;Acc:HGNC:28742]"
"ENSG00000156076","WIF1","WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]"
"ENSG00000102897","LYRM1","LYR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25074]"
"ENSG00000162545","CAMK2N1","calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]"
"ENSG00000115159","GPD2","glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]"
"ENSG00000177873","ZNF619","zinc finger protein 619 [Source:HGNC Symbol;Acc:HGNC:26910]"
"ENSG00000221944","TIGD1","tigger transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:14523]"
"ENSG00000020577","SAMD4A","sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]"
"ENSG00000169905","TOR1AIP2","torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]"
"ENSG00000196811","CHRNG","cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967]"
"ENSG00000139880","CDH24","cadherin 24 [Source:HGNC Symbol;Acc:HGNC:14265]"
"ENSG00000263715","LINC02210-CRHR1","LINC02210-CRHR1 readthrough [Source:HGNC Symbol;Acc:HGNC:51483]"
"ENSG00000196678","ERI2","ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]"
"ENSG00000090432","MUL1","mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]"
"ENSG00000256618","MTRNR2L1","MT-RNR2 like 1 [Source:HGNC Symbol;Acc:HGNC:37155]"
"ENSG00000109424","UCP1","uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517]"
"ENSG00000088538","DOCK3","dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]"
"ENSG00000183114","FAM43B","family with sequence similarity 43 member B [Source:HGNC Symbol;Acc:HGNC:31791]"
"ENSG00000118971","CCND2","cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]"
"ENSG00000133135","RNF128","ring finger protein 128 [Source:HGNC Symbol;Acc:HGNC:21153]"
"ENSG00000204525","HLA-C","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]"
"ENSG00000120088","CRHR1","corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357]"
"ENSG00000263761","GDF2","growth differentiation factor 2 [Source:HGNC Symbol;Acc:HGNC:4217]"
"ENSG00000161682","FAM171A2","family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]"
"ENSG00000265203","RBP3","retinol binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9921]"
"ENSG00000173281","PPP1R3B","protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]"
"ENSG00000171310","CHST11","carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]"
"ENSG00000173208","ABCD2","ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]"
"ENSG00000249437","NAIP","NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]"
"ENSG00000099904","ZDHHC8","zinc finger DHHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:18474]"
"ENSG00000078237","TIGAR","TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]"
"ENSG00000186111","PIP5K1C","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]"
"ENSG00000082397","EPB41L3","erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]"
"ENSG00000285901","AC008012.1","novel transcript"
"ENSG00000066117","SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:HGNC Symbol;Acc:HGNC:11106]"
"ENSG00000118972","FGF23","fibroblast growth factor 23 [Source:HGNC Symbol;Acc:HGNC:3680]"
"ENSG00000109436","TBC1D9","TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]"
"ENSG00000136052","SLC41A2","solute carrier family 41 member 2 [Source:HGNC Symbol;Acc:HGNC:31045]"
"ENSG00000062725","APPBP2","amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]"
"ENSG00000159208","CIART","circadian associated repressor of transcription [Source:HGNC Symbol;Acc:HGNC:25200]"
"ENSG00000132676","DAP3","death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]"
"ENSG00000005187","ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
"ENSG00000170820","FSHR","follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969]"
"ENSG00000143337","TOR1AIP1","torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]"
"ENSG00000116663","FBXO6","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]"
"ENSG00000282278","AC058822.1","novel FIP1L1-PDGFRA fusion protein"
"ENSG00000227222","DHX16","DEAH-box helicase 16 [Source:HGNC Symbol;Acc:HGNC:2739]"
"ENSG00000174917","MICOS13","mitochondrial contact site and cristae organizing system subunit 13 [Source:HGNC Symbol;Acc:HGNC:33702]"
"ENSG00000100271","TTLL1","tubulin tyrosine ligase like 1 [Source:HGNC Symbol;Acc:HGNC:1312]"
"ENSG00000158748","HTR6","5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301]"
"ENSG00000151229","SLC2A13","solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]"
"ENSG00000251184","AL672142.1","novel protein"
"ENSG00000162078","ZG16B","zymogen granule protein 16B [Source:HGNC Symbol;Acc:HGNC:30456]"
"ENSG00000125691","RPL23","ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]"
"ENSG00000162408","NOL9","nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265]"
"ENSG00000204815","TTC25","tetratricopeptide repeat domain 25 [Source:HGNC Symbol;Acc:HGNC:25280]"
"ENSG00000148814","LRRC27","leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]"
"ENSG00000165905","LARGE2","LARGE xylosyl- and glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16522]"
"ENSG00000130255","RPL36","ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]"
"ENSG00000162576","MXRA8","matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]"
"ENSG00000167419","LPO","lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]"
"ENSG00000180116","C12orf40","chromosome 12 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:26846]"
"ENSG00000158825","CDA","cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]"
"ENSG00000109220","CHIC2","cysteine rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:HGNC:1935]"
"ENSG00000009724","MASP2","mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]"
"ENSG00000169393","ELSPBP1","epididymal sperm binding protein 1 [Source:HGNC Symbol;Acc:HGNC:14417]"
"ENSG00000171456","ASXL1","ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]"
"ENSG00000168016","TRANK1","tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]"
"ENSG00000265763","ZNF488","zinc finger protein 488 [Source:HGNC Symbol;Acc:HGNC:23535]"
"ENSG00000206285","B3GALT4","beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]"
"ENSG00000171786","NHLH1","nescient helix-loop-helix 1 [Source:HGNC Symbol;Acc:HGNC:7817]"
"ENSG00000100241","SBF1","SET binding factor 1 [Source:HGNC Symbol;Acc:HGNC:10542]"
"ENSG00000162409","PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]"
"ENSG00000277726","AL109811.3","novel protein"
"ENSG00000244038","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]"
"ENSG00000124237","C20orf85","chromosome 20 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:16216]"
"ENSG00000145375","SPATA5","spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]"
"ENSG00000166743","ACSM1","acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049]"
"ENSG00000101203","COL20A1","collagen type XX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:14670]"
"ENSG00000162738","VANGL2","VANGL planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511]"
"ENSG00000111816","FRK","fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]"
"ENSG00000278726","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
"ENSG00000124227","ANKRD60","ankyrin repeat domain 60 [Source:HGNC Symbol;Acc:HGNC:16217]"
"ENSG00000136051","WASHC4","WASH complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:29174]"
"ENSG00000130700","GATA5","GATA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:15802]"
"ENSG00000096401","CDC5L","cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]"
"ENSG00000064932","SBNO2","strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]"
"ENSG00000030110","BAK1","BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]"
"ENSG00000105507","CABP5","calcium binding protein 5 [Source:HGNC Symbol;Acc:HGNC:13714]"
"ENSG00000152760","TCTEX1D1","Tctex1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26882]"
"ENSG00000011143","MKS1","MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121]"
"ENSG00000108352","RAPGEFL1","Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]"
"ENSG00000115904","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]"
"ENSG00000161016","RPL8","ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]"
"ENSG00000115526","CHST10","carbohydrate sulfotransferase 10 [Source:HGNC Symbol;Acc:HGNC:19650]"
"ENSG00000142408","CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]"
"ENSG00000197037","ZSCAN25","zinc finger and SCAN domain containing 25 [Source:HGNC Symbol;Acc:HGNC:21961]"
"ENSG00000277421","ZNF280B","zinc finger protein 280B [Source:HGNC Symbol;Acc:HGNC:23022]"
"ENSG00000158828","PINK1","PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]"
"ENSG00000285043","AC093512.2","uncharaterized LOC112694756 [Source:NCBI gene;Acc:112694756]"
"ENSG00000137880","GCHFR","GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]"
"ENSG00000166452","AKIP1","A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]"
"ENSG00000072201","LNX1","ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657]"
"ENSG00000176101","SSNA1","SS nuclear autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:11321]"
"ENSG00000237344","PBX2","PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]"
"ENSG00000183844","FAM3B","family with sequence similarity 3 member B [Source:HGNC Symbol;Acc:HGNC:1253]"
"ENSG00000183629","GOLGA8G","golgin A8 family member G [Source:HGNC Symbol;Acc:HGNC:25328]"
"ENSG00000134452","FBH1","F-box DNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:13620]"
"ENSG00000176248","ANAPC2","anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]"
"ENSG00000166140","ZFYVE19","zinc finger FYVE-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20758]"
"ENSG00000107611","CUBN","cubilin [Source:HGNC Symbol;Acc:HGNC:2548]"
"ENSG00000197713","RPE","ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]"
"ENSG00000170419","VSTM2A","V-set and transmembrane domain containing 2A [Source:HGNC Symbol;Acc:HGNC:28499]"
"ENSG00000166482","MFAP4","microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]"
"ENSG00000157796","WDR19","WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]"
"ENSG00000172878","METAP1D","methionyl aminopeptidase type 1D, mitochondrial [Source:HGNC Symbol;Acc:HGNC:32583]"
"ENSG00000087263","OGFOD1","2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]"
"ENSG00000186868","MAPT","microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]"
"ENSG00000196284","SUPT3H","SPT3 homolog, SAGA and STAGA complex component [Source:HGNC Symbol;Acc:HGNC:11466]"
"ENSG00000100239","PPP6R2","protein phosphatase 6 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:19253]"
"ENSG00000163374","YY1AP1","YY1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30935]"
"ENSG00000115840","SLC25A12","solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]"
"ENSG00000134460","IL2RA","interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]"
"ENSG00000276371","SINHCAF","SIN3-HDAC complex associated factor [Source:HGNC Symbol;Acc:HGNC:30702]"
"ENSG00000149925","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"
"ENSG00000187595","ZNF385C","zinc finger protein 385C [Source:HGNC Symbol;Acc:HGNC:33722]"
"ENSG00000180613","GSX2","GS homeobox 2 [Source:HGNC Symbol;Acc:HGNC:24959]"
"ENSG00000278755","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"ENSG00000162739","SLAMF6","SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]"
"ENSG00000234409","CCDC188","coiled-coil domain containing 188 [Source:HGNC Symbol;Acc:HGNC:51899]"
"ENSG00000164904","ALDH7A1","aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]"
"ENSG00000267221","C17orf113","chromosome 17 open reading frame 113 [Source:HGNC Symbol;Acc:HGNC:53437]"
"ENSG00000151131","C12orf45","chromosome 12 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:28628]"
"ENSG00000286131","AC083977.1","novel protein"
"ENSG00000115756","HPCAL1","hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]"
