speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Mouse	Undefined	NA	Normal	Normal cell	Myeloid-derived suppressor cell	CL_0000889	CCR2, CD115, CD11b, CD124, CD16, CD32, CD1d, CD54, CD68, CD80, CXCR1, F4/80, Gr-1, Ly6C, Ly6G	Ccr2, Csf1r, Itgam, Il4ra, Fcgr3, Cdh1, Cd1d1, Icam1, Cd68, Cd80, Cxcr1, Adgre1, Ly6g, Ly6c1, Ly6g	12772, 12978, 16409, 16190, 14131, 12550, 12479, 15894, 12514, 12519, 227288, 13733, 546644, 17067, 546644	CCR2, CSF1R, ITAM, IL4RA, FCGR3, CADH1, CD1D1, ICAM1, CD68, CD80, CXCR1, AGRE1, LY6G, LY6C1, LY6G	P51683, P09581, P05555, P16382, P08508, P09803, P11609, P13597, P31996, Q00609, Q810W6, Q61549, P35461, P0CW02, P35461	Company	Company	biolegend
Mouse	Undefined	NA	Normal	Normal cell	Naive T cell	CL_0000898	CD127, CD183, CD197, CD62L	Il7r, Cxcr3, Ccr7, Sell	16197, 12766, 12775, 20343	IL7RA, CXCR3, CCR7, LYAM1	P16872, O88410, P47774, P18337	Company	Company	ebioscience
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Natural killer cell	CL_0000623	NK1.1, NKp46	Klrb1c, Ncr1	17059, 17086	KLRBC, NCTR1	P27814, NA	Company	Company	miltenyibiotec
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Natural killer T (NKT) cell	CL_0000623	CD16, CD3, CD45, CD56, granzyme, NK1.1	Fcgr3, [Cd3d, Cd3e, Cd3g], Ptprc, Ncam1, NA, Klrb1c	14131, [12500, 12501, 12502], 19264, 17967, NA, 17059	FCGR3, [CD3D, CD3E, CD3G], PTPRC, NCAM1, NA, KLRBC	P08508, [P04235, P22646, P11942], P06800, P13595, NA, P27814	Company	Company	miltenyibiotec
Mouse	Lymphoid tissue	UBERON_0001744	Normal	Normal cell	Natural killer T (NKT) cell	CL_0000623	CD16, CD3, CD45, CD56, granzyme, NK1.1	Fcgr3, [Cd3d, Cd3e, Cd3g], Ptprc, Ncam1, NA, Klrb1c	14131, [12500, 12501, 12502], 19264, 17967, NA, 17059	FCGR3, [CD3D, CD3E, CD3G], PTPRC, NCAM1, NA, KLRBC	P08508, [P04235, P22646, P11942], P06800, P13595, NA, P27814	Company	Company	miltenyibiotec
Mouse	Undefined	NA	Normal	Normal cell	Neuron	CL_0000540	CD143, CD166, CD171, CD200, CD230, CD24, CD271, CD304, CD6, CD90, Nestin	Ace, Alcam, L1cam, Cd200, Prnp, Cd24a, Ngfr, Nrp1, Cd6, Thy1, Nes	11421, 11658, 16728, 17470, 19122, 12484, 18053, 18186, 12511, 21838, 18008	ACE, CD166, L1CAM, OX2G, PRIO, CD24, TNR16, NRP1, CD6, THY1, NEST	P09470, Q61490, P11627, O54901, P04925, P24807, Q9Z0W1, P97333, Q61003, P01831, Q6P5H2	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	Neutrophil	CL_0000775	CD11b, CXCR4, Gr-1, Siglec-F, MHC class II	Itgam, Cxcr4, Ly6g, Siglecf, MHC class II	16409, 12767, 546644, 233186, MHC class II	ITAM, CXCR4, LY6G, SIGL5, MHC class II	P05555, P70658, P35461, Q920G3, MHC class II	Company	Company	abcam
Mouse	Undefined	NA	Normal	Normal cell	Neutrophil	CL_0000775	CD10, CD112, CD114, CD116, CD15, CD157, CD17, CD177, CD181, CD24, CD281, CD282, CD284, CD286, CD289, CD35, CD43, CD66a, CD66b, CD66d, CD89, CD93, Ly6G	Itgae, Nectin2, Csf3r, Csf2ra, Fut4, Bst1, NA, Cd177, Cxcr1, Cd24a, Tlr1, Tlr2, Tlr4, Tlr6, Tlr9, Cr2, Spn, Ceacam1, NA, NA, NA, Cd93, Ly6g	16407, 19294, 12986, 12982, 14345, 12182, NA, 68891, 227288, 12484, 21897, 24088, 21898, 21899, 81897, 12902, 20737, 26365, NA, NA, NA, 17064, 546644	ITAE, NECT2, CSF3R, CSF2R, FUT4, BST1, NA, CD177, CXCR1, CD24, TLR1, TLR2, TLR4, TLR6, TLR9, CR2, LEUK, CEAM1, NA, NA, NA, C1QR1, LY6G	Q60677, P32507, P40223, Q00941, Q11127, Q64277, NA, Q8R2S8, Q810W6, P24807, Q9EPQ1, Q9QUN7, Q9QUK6, Q9EPW9, Q9EQU3, P19070, P15702, P31809, NA, NA, NA, O89103, P35461	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	Neutrophil	CL_0000775	CD115, CD11b, Gr-1, Ly6G	Csf1r, Itgam, Ly6g, Ly6g	12978, 16409, 546644, 546644	CSF1R, ITAM, LY6G, LY6G	P09581, P05555, P35461, P35461	Company	Company	miltenyibiotec
Mouse	Undefined	NA	Normal	Normal cell	Natural killer cell	CL_0000623	CD10, CD103, CD117, CD119, CD122, CD127, CD16, CD160, CD161, CD161b, CD161c, CD182, CD183, CD196, CD1d, CD2, CD212, CD31, CD314, CD319, CD335, CD34, CD4, CD43, CD44, CD45, CD45R, CD45RA, CD45RO, CD49b, CD57, CD69, CD8, CD87, CD90, CD94, CD96, Cx3cr1, Flt3, KLRG1, MHC class II, PLZF, ROR gamma T, Sca-1, ST2	Itgae, Itgae, Kit, Ifngr1, Il2rb, Il7r, Fcgr3, Cd160, Klrb1, Klrb1b, Klrb1c, Cxcr2, Cxcr3, Ccr6, Cd1d1, Cd2, Il12rb1, Pecam1, Klrk1, Slamf7, Ncr1, Cd34, Cd4, Spn, Cd44, Ptprc, Ptprc, Ptprc, Ptprc, Itga2, B3gat1, Cd69, Cd8a, Plaur, Thy1, Klrd1, Cd96, Cx3cr1, Flt3, Klrg1, MHC class II, Zbtb16, Rorc, Ly6a, Il1rl1	16407, 16407, 16590, 15979, 16185, 16197, 14131, 54215, 100043861, 80782, 17059, 12765, 12766, 12458, 12479, 12481, 16161, 18613, 27007, 75345, 17086, 12490, 12504, 20737, 12505, 19264, 19264, 19264, 19264, 16398, 76898, 12515, 12525, 18793, 21838, 16643, 84544, 13051, 14255, 50928, MHC class II, 235320, 19885, 110454, 17082	ITAE, ITAE, KIT, INGR1, IL2RB, IL7RA, FCGR3, BY55, KLRB1, KRBBA, KLRBC, CXCR2, CXCR3, CCR6, CD1D1, CD2, I12R1, PECA1, NKG2D, SLAF7, NCTR1, CD34, CD4, LEUK, CD44, PTPRC, PTPRC, PTPRC, PTPRC, ITA2, B3GA1, CD69, CD8A, UPAR, THY1, KLRD1, TACT, CX3C1, FLT3, KLRG1, MHC class II, NA, RORG, LY6A, ILRL1	Q60677, Q60677, P05532, P15261, P16297, P16872, P08508, O88875, Q0ZUP1, P27812, P27814, P35343, O88410, O54689, P11609, P08920, Q60837, Q08481, O54709, Q8BHK6, Q8C567, Q64314, P06332, P15702, P15379, P06800, P06800, P06800, P06800, Q62469, Q9CW73, P37217, P01731, P35456, P01831, O54707, Q3U0X8, Q9Z0D9, Q00342, O88713, MHC class II, NA, P51450, P05533, P14719	Company	Company	bio-rad-antibodies
Mouse	Undefined	NA	Normal	Normal cell	Natural killer cell	CL_0000623	CD11b, CD122, NK1.1, NKG2D, NKp46	Itgam, Il2rb, Klrb1c, Klrk1, Ncr1	16409, 16185, 17059, 27007, 17086	ITAM, IL2RB, KLRBC, NKG2D, NCTR1	P05555, P16297, P27814, O54709, Q8C567	Company	Company	abcam
Mouse	Undefined	NA	Normal	Normal cell	Natural killer cell	CL_0000623	CD11b, CD122, CD16, CD161c, CD226, CD25, CD314, CD335, CD49b, CD94, E4BP4, Eomes, GATA3, Id2, Ly-49, Runx1, T-bet, TIGIT, TOX	Itgam, Il2rb, Fcgr3, Klrb1c, Cd226, Il2ra, Klrk1, Ncr1, Itga2, Klrd1, Nfil3, Eomes, Gata3, Id2, Ly-49 family, Runx1, Agpat2, Tigit, Tox	16409, 16185, 14131, 17059, 225825, 16184, 27007, 17086, 16398, 16643, 18030, 13813, 14462, 15902, Ly-49 family, 12349, 67512, 100043314, 252838	ITAM, IL2RB, FCGR3, KLRBC, CD226, IL2RA, NKG2D, NCTR1, ITA2, KLRD1, NFIL3, EOMES, GATA3, ID2, Ly-49 family, RUNX1, PLCB, TIGIT, TOX	P05555, P16297, P08508, P27814, Q8K4F0, P01590, O54709, Q8C567, Q62469, O54707, O08750, O54839, P23772, P41136, Ly-49 family, Q0VDN7, Q8K3K7, P86176, Q66JW3	Company	Company	ebioscience
Mouse	Lymphoid tissue	UBERON_0001744	Normal	Normal cell	Plasma cell	CL_0000786	BCMA, BLIMP1, CD126, CD138, CD184, CD320, CD45R, IgD, Irf4, TACI, XBP1	Tnfrsf17, Prdm1, Il6ra, Sdc1, Cxcr4, Cd320, Ptprc, IgD family, Irf4, Tnfrsf13b, Xbp1	21935, 12142, 16194, 20969, 12767, 54219, 19264, IgD family, 16364, 57916, 22433	TNR17, PRDM1, IL6RA, SDC1, CXCR4, CD320, PTPRC, IgD family, IRF4, TR13B, XBP1	O88472, Q60636, P22272, P18828, P70658, Q9Z1P5, P06800, IgD family, Q64287, Q9ET35, O35426	Company	Company	miltenyibiotec
Mouse	Undefined	NA	Normal	Normal cell	Plasma cell	CL_0000786	Blimp1, CD138, CD16, CD19, CD32, CD81, CD9, IgG, IRF4, Xbp1	Prdm1, Sdc1, Fcgr3, Cd19, Cdh1, Cd81, Cd9, IgG family, Irf4, Xbp1	12142, 20969, 14131, 12478, 12550, 12520, 12527, IgG family, 16364, 22433	PRDM1, SDC1, FCGR3, CD19, CADH1, CD81, CD9, IgG family, IRF4, XBP1	Q60636, P18828, P08508, P25918, P09803, P35762, P40240, IgG family, Q64287, O35426	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	Plasmacytoid dendritic cell	CL_0000784	CD287, CD289, CD317, CD45R, E2-2, IRF8, Siglec-H	Tlr7, Tlr9, Bst2, Ptprc, Tcf4, Irf8, Siglech	170743, 81897, 69550, 19264, 21413, 15900, 233274	TLR7, TLR9, BST2, PTPRC, ITF2, IRF8, SIGLEC-H	P58681, Q9EQU3, Q8R2Q8, P06800, Q60722, P23611, Q3Y597	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	Platelet	CL_0000233	CD41, CD9, GPIa, GPIb, GPVI	Itga2b, Thy1, Itga2, [Gp1ba, Gp1bb], Gp6	16399, 21838, 16398, [14723, 14724], 243816	ITA2B, THY1, ITA2, [GP1BA, GPIBB], GPVI	Q9QUM0, P01831, Q62469, [O35930, P56400], P0C191	Company	Company	abcam
Mouse	Undefined	NA	Normal	Normal cell	Platelet	CL_0000233	CD107a, CD107b, CD110, CD147, CD151, CD23, CD41, CD42a, CD42b, CD42c, CD43, CD44, CD47, CD49b, CD49f, CD51, CD61, CD62P, CD63, CD69, CD9, CD93, GARP, LAP	Lamp1, Lamp2, Mpl, Bsg, Cd151, Fcer2a, Itga2b, Gp9, Gp1ba, Gp1bb, Spn, Cd44, Cd47, Itga2, Itga6, Itgav, Itgb3, Selp, Cd63, Cd69, Thy1, Cd93, Lrrc32, NA	16783, 16784, 17480, 12215, 12476, 14128, 16399, 54368, 14723, 14724, 20737, 12505, 16423, 16398, 16403, 16410, 16416, 20344, 12512, 12515, 21838, 17064, 434215, NA	LAMP1, LAMP2, TPOR, BASI, CD151, FCER2, ITA2B, GPIX, GP1BA, GP1BB, LEUK, CD44, CD47, ITA2, ITA6, ITAV, ITB3, LYAM3, CD63, CD69, THY1, C1QR1, NA, NA	P11438, P17047, Q08351, P18572, O35566, P20693, Q9QUM0, O88186, O35930, P56400, P15702, P15379, Q61735, Q62469, Q61739, P43406, O54890, Q01102, P41731, P37217, P01831, O89103, NA, NA	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	CD25, CD3, CD39, CD4, CD45, CD73, Foxp3, Helios, IL-10, IL-35, Ki67, TGF-beta	Il2ra, [Cd3d, Cd3e, Cd3g], Entpd1, Cd4, Ptprc, Nt5e, Foxp3, Ikzf2, Il10, [Il12a, Ebi3], Mki67, TGF-beta family	16184, [12500, 12501, 12502], 12495, 12504, 19264, 23959, 20371, 22779, 16153, [16159, 50498], 17345, TGF-beta family	IL2RA, [CD3D, CD3E, CD3G], ENTP1, CD4, PTPRC, 5NTD, FOXP3, IKZF2, IL10, [IL12A, IL27B], KI67, TGF-beta family	P01590, [P04235, P22646, P11942], P55772, P06332, P06800, Q61503, Q99JB6, P81183, P18893, [P43431, O35228], E9PVX6, TGF-beta family	Company	Company	miltenyibiotec
Mouse	Undefined	NA	Normal	Normal cell	Specialist antigen presenting cell	NA	CD10, CD117, CD119, CD11b, CD11c, CD123, CD127, CD13, CD14, CD141, CD16, CD170, CD19, CD1d, CD205, CD206, CD207, CD209, CD23, CD24, CD273, CD282, CD289, CD317, CD33, CD34, CD35, CD357, CD38, CD39, CD45, CD45RA, CD45RO, CD64, CD68, CD80, CD84, CD86, CD90, Cx3cr1, DCIR2, Flt3, IL-1R-2, MHC class II, Sca-1, TLR7	Itgae, Kit, Ifngr1, Itgam, Itgax, Il3ra, Il7r, Anpep, Cd14, Thbd, Fcgr3, Siglecf, Cd19, Cd1d1, Ly75, Mrc1, Cd207, Cd209e, Fcer2a, Cd24a, Pdcd1lg2, Tlr2, Tlr9, Bst2, Cd33, Cd34, Cr2, Tnfrsf18, Cd38, Entpd1, Ptprc, Ptprc, Ptprc, Fcgr1, Cd68, Cd80, Cd84, Cd86, Thy1, Cx3cr1, Clec4a4, Flt3, Il1r2, MHC class II, Ly6a, Tlr7	16407, 16590, 15979, 16409, 16411, 16188, 16197, 16790, 12475, 21824, 14131, 233186, 12478, 12479, 17076, 17533, 246278, 170780, 14128, 12484, 58205, 24088, 81897, 69550, 12489, 12490, 12902, 21936, 12494, 12495, 19264, 19264, 19264, 14129, 12514, 12519, 12523, 12524, 21838, 13051, 474145, 14255, 16178, MHC class II, 110454, 170743	ITAE, KIT, INGR1, ITAM, ITAX, IL3RA, IL7RA, AMPN, CD14, TRBM, FCGR3, SIGL5, CD19, CD1D1, LY75, MRC1, CLC4K, C209E, FCER2, CD24, PD1L2, TLR2, TLR9, BST2, CD33, CD34, CR2, TNR18, CD38, ENTP1, PTPRC, PTPRC, PTPRC, FCGR1, CD68, CD80, SLAF5, CD86, THY1, CX3C1, Q5YIR8, FLT3, IL1R2, MHC class II, LY6A, TLR7	Q60677, P05532, P15261, P05555, Q9QXH4, P26952, P16872, P97449, P10810, P15306, P08508, Q920G3, P25918, P11609, Q60767, Q61830, Q8VBX4, Q91ZW7, P20693, P24807, Q9WUL5, Q9QUN7, Q9EQU3, Q8R2Q8, Q63994, Q64314, P19070, O35714, P56528, P55772, P06800, P06800, P06800, P26151, P31996, Q00609, Q18PI6, P42082, P01831, Q9Z0D9, Q5YIR8, Q00342, P27931, MHC class II, P05533, P58681	Company	Company	bio-rad-antibodies
Mouse	Undefined	NA	Normal	Normal cell	Stromal cell	CL_0000499	CD10, CD157, CD34, Podoplanin, Stro-1	Itgae, Bst1, Cd34, Pdpn, NA	16407, 12182, 12490, 14726, NA	ITAE, BST1, CD34, PDPN, NA	Q60677, Q64277, Q64314, Q62011, NA	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	T cell	CL_0000084	CCR10, CD10, CD103, CD117, CD119, CD11c, CD122, CD126, CD127, CD140, CD150, CD154, CD160, CD161b, CD161c, CD178, CD183, CD184, CD185, CD193, CD194, CD195, CD196, CD1d, CD2, CD200, CD212, CD218a, CD24, CD25, CD294, CD3, CD31, CD34, CD35, CD357, CD38, CD39, CD4, CD40, CD43, CD44, CD45, CD45R, CD45RA, CD45RO, CD49b, CD5, CD51, CD57, CD61, CD62L, CD7, CD73, CD8, CD80, CD84, CD87, CD90, CD94, NKG2, CD96, CDw198, Cx3cr1, Flt3, Foxp3, IL-1R, IL-1R1, IL-1R2, IL-21R, IL-9, PLZF, ROR gamma T, Sca-1, TCR alpha/beta, TCR gamma/delta	Ccr10, Itgae, Itgae, Kit, Ifngr1, Itgax, Il2rb, Il6ra, Il7r, [Pdgfra, Pdgfrb], Slamf1, Cd40lg, Cd160, Klrb1b, Klrb1c, Fasl, Cxcr3, Cxcr4, Cxcr5, Ccr3, Ccr4, Ccr5, Ccr6, Cd1d1, Cd2, Cd200, Il12rb1, Il18r1, Cd24a, Il2ra, Ptgdr2, [Cd3d, Cd3e, Cd3g], Pecam1, Cd34, Cr2, Tnfrsf18, Cd38, Entpd1, Cd4, Cd40, Spn, Cd44, Ptprc, Ptprc, Ptprc, Ptprc, Itga2, Cd5, Itgav, B3gat1, Itgb3, Sell, TFRC, Nt5e, Cd8a, Cd80, Cd84, Plaur, Thy1, Klrd1, NA, Cd96, Ccr8, Cx3cr1, Flt3, Foxp3, [Il1r1, Il1r2], Il1r1, Il1r2, Il21r, Il9, Zbtb16, Rorc, Ly6a, NA, NA	12777, 16407, 16407, 16590, 15979, 16411, 16185, 16194, 16197, [18595, 18596], 27218, 21947, 54215, 80782, 17059, 14103, 12766, 12767, 12145, 12771, 12773, 12774, 12458, 12479, 12481, 17470, 16161, 16182, 12484, 16184, 14764, [12500, 12501, 12502], 18613, 12490, 12902, 21936, 12494, 12495, 12504, 21939, 20737, 12505, 19264, 19264, 19264, 19264, 16398, 12507, 16410, 76898, 16416, 20343, 7037, 23959, 12525, 12519, 12523, 18793, 21838, 16643, NA, 84544, 12776, 13051, 14255, 20371, [16177, 16178], 16177, 16178, 60504, 16198, 235320, 19885, 110454, NA, NA	CCR10, ITAE, ITAE, KIT, INGR1, ITAX, IL2RB, IL6RA, IL7RA, [PGFRA, PGFRB], SLAF1, CD40L, BY55, KRBBA, KLRBC, TNFL6, CXCR3, CXCR4, CXCR5, CCR3, CCR4, CCR5, CCR6, CD1D1, CD2, OX2G, I12R1, IL18R, CD24, IL2RA, PD2R2, [CD3D, CD3E, CD3G], PECA1, CD34, CR2, TNR18, CD38, ENTP1, CD4, TNR5, LEUK, CD44, PTPRC, PTPRC, PTPRC, PTPRC, ITA2, CD5, ITAV, B3GA1, ITB3, LYAM1, TFR1, 5NTD, CD8A, CD80, SLAF5, UPAR, THY1, KLRD1, NA, TACT, CCR8, CX3C1, FLT3, FOXP3, [IL1R1, IL1R2], IL1R1, IL1R2, IL21R, IL9, NA, RORG, LY6A, NA, NA	Q9JL21, Q60677, Q60677, P05532, P15261, Q9QXH4, P16297, P22272, P16872, [P26618, P05622], Q9QUM4, P27548, O88875, P27812, P27814, P41047, O88410, P70658, Q04683, P51678, P51680, P51682, O54689, P11609, P08920, O54901, Q60837, Q61098, P24807, P01590, Q9Z2J6, [P04235, P22646, P11942], Q08481, Q64314, P19070, O35714, P56528, P55772, P06332, P27512, P15702, P15379, P06800, P06800, P06800, P06800, Q62469, P06127, P43406, Q9CW73, O54890, P18337, P02786, Q61503, P01731, Q00609, Q18PI6, P35456, P01831, O54707, NA, Q3U0X8, P56484, Q9Z0D9, Q00342, Q99JB6, [P13504, P27931], P13504, P27931, Q9JHX3, P15247, NA, P51450, P05533, NA, NA	Company	Company	bio-rad-antibodies
Mouse	Undefined	NA	Normal	Normal cell	T cell	CL_0000084	CD3	[Cd3d, Cd3e, Cd3g]	[12500, 12501, 12502]	[CD3D, CD3E, CD3G]	[P04235, P22646, P11942]	Company	Company	abcam
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	T cell	CL_0000084	CD3, CD4, CD8, CD90	[Cd3d, Cd3e, Cd3g], Cd4, Cd8a, Thy1	[12500, 12501, 12502], 12504, 12525, 21838	[CD3D, CD3E, CD3G], CD4, CD8A, THY1	[P04235, P22646, P11942], P06332, P01731, P01831	Company	Company	miltenyibiotec
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	T cell	CL_0000084	CD2, CD3, CD45, CD5, CD6, CD90.1/CD90.2	Cd2, [Cd3d, Cd3e, Cd3g], Ptprc, Cd5, Itgb3, Thy1	12481, [12500, 12501, 12502], 19264, 12507, 16416, 21838	CD2, [CD3D, CD3E, CD3G], PTPRC, CD5, ITB3, THY1	P08920, [P04235, P22646, P11942], P06800, P06127, O54890, P01831	Company	Company	miltenyibiotec
Mouse	Lymphoid tissue	UBERON_0001744	Normal	Normal cell	T cell	CL_0000084	CD2, CD3, CD45, CD5, CD6, CD90.1/CD90.2	Cd2, [Cd3d, Cd3e, Cd3g], Ptprc, Cd5, Itgb3, Thy1	12481, [12500, 12501, 12502], 19264, 12507, 16416, 21838	CD2, [CD3D, CD3E, CD3G], PTPRC, CD5, ITB3, THY1	P08920, [P04235, P22646, P11942], P06800, P06127, O54890, P01831	Company	Company	miltenyibiotec
Mouse	Undefined	NA	Normal	Normal cell	Follicular helper (Tfh) T cell	CL_0002038	BATF, Bcl-6, CD185, CD278, CD279, c-Maf, IRF4, Stat3	Batf, Bcl6, Cxcr5, Icos, Pdcd1, Maf, Irf4, Stat3	53314, 12053, 12145, 54167, 18566, 17132, 16364, 20848	BATF, BCL6, CXCR5, ICOS, PDCD1, MAF, IRF4, STAT3	O35284, P41183, Q04683, Q9WVS0, Q02242, P54843, Q64287, P42227	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	T helper1 (Th1) cell	CL_0000545	CD119, CD183, CD186, CD191, CD195, CD212, CD218a, CD254, CD366, CD94, Stat1, Stat4, T-bet	Ifngr1, Cxcr3, Cxcr6, Ccr1, Ccr5, Il12rb1, Il18r1, Tnfsf11, Havcr2, Klrd1, Stat1, Stat4, Tbx21	15979, 12766, 80901, 12768, 12774, 16161, 16182, 21943, 171285, 16643, 20846, 20849, 57765	INGR1, CXCR3, CXCR6, CCR1, CCR5, I12R1, IL18R, TNF11, HAVR2, KLRD1, STAT1, STAT4, TBX21	P15261, O88410, Q9EQ16, P51675, P51682, Q60837, Q61098, O35235, Q8VIM0, O54707, P42225, P42228, Q9JKD8	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	T helper17 (Th17) cell	CL_0000899	AHR, BATF, CD121a, CD194, CD196, CD212, CD360, c-Maf, IL-23R, IRF4, ROR-alpha, ROR gamma T, Stat3	Ahr, Batf, Il1r1, Ccr4, Ccr6, Il12rb1, Il21r, Maf, Il23r, Irf4, Rora, Rorc, Stat3	11622, 53314, 16177, 12773, 12458, 16161, 60504, 17132, 209590, 16364, 19883, 19885, 20848	AHR, BATF, IL1R1, CCR4, CCR6, I12R1, IL21R, MAF, IL23R, IRF4, RORA, RORG, STAT3	P30561, O35284, P13504, P51680, O54689, Q60837, Q9JHX3, P54843, Q8K4B4, Q64287, P51448, P51450, P42227	Company	Company	ebioscience
Mouse	Undefined	NA	Normal	Normal cell	T helper2 (Th2) cell	CL_0000546	BATF, CD184, CD194, CD198, CD294, CD365, GATA3, IL-25, IL-33R, IRF4, STAT6	Batf, Cxcr4, Ccr4, NA, Ptgdr2, Havcr1, Gata3, Mydgf, Il1rl1, Irf4, Stat6	23315, 12767, 12773, NA, 14764, 171283, 14462, 28106, 17082, 16364, 20852	BATF, CXCR4, CCR4, NA, PD2R2, HAVR1, GATA3, MYDGF, ILRL1, IRF4, STAT6	O35284, P70658, P51680, NA, Q9Z2J6, Q5QNS5, P23772, Q9CPT4, P14719, Q64287, P52663	Company	Company	ebioscience
Mouse	Lymphoid tissue	UBERON_0001744	Normal	Normal cell	Immature transitional B cell	CL_0000818	B220, BR3, CD24, CD93, E2A, EBF, IgM, Pax5, TACI	Ptprc, Tnfrsf13c, Cd24a, Cd93, NA, NA, Cd40lg, Pax5, Tnfrsf13b	19264, 72049, 12484, 17064, NA, NA, 21947, 18507, 57916	PTPRC, TR13C, CD24, C1QR1, NA, NA, CD40L, PAX5, TR13B	P06800, Q9D8D0, P24807, O89103, NA, NA, P27548, Q02650, Q9ET35	Company	Company	miltenyibiotec
Mouse	Undefined	NA	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	CD101, CD121a, CD121b, CD137, CD152, CD25, CD304, CD357, CD39, CD73, c-Rel, Eos, Foxp3, FR4, GARP, Helios, LAP, STAT5, TIGIT	Cd101, Il1r1, Il1r2, Tnfrsf9, Ctla4, Il2ra, Nrp1, Tnfrsf18, Entpd1, Nt5e, Rel, Ikzf4, Foxp3, Izumo1r, Lrrc32, Ikzf2, NA, [Stat5a, Stat5b], Tigit	630146, 16177, 16178, 21942, 12477, 16184, 18186, 21936, 12495, 23959, 19696, 22781, 20371, 64931, 434215, 22779, NA, [20850, 20851], 100043314	IGSF2, IL1R1, IL1R2, TNR9, CTLA4, IL2RA, NRP1, TNR18, ENTP1, 5NTD, REL, IKZF4, FOXP3, JUNO, NA, IKZF2, NA, [STA5A, STA5B], TIGIT	A8E0Y8, P13504, P27931, P20334, P09793, P01590, P97333, O35714, P55772, Q61503, P15307, Q8C208, Q99JB6, Q9EQF4, NA, P81183, NA, [P42230, P42232], P86176	Company	Company	ebioscience
Mouse	Undefined	NA	Breast Cancer	Cancer cell	Cancer stem cell	NA	CD24, CD29, CD49f, Sca-1	Cd24a, Itgb1, Itga6, Ly6a	12484, 16412, 16403, 110454	CD24, ITB1, ITA6, LY6A	P24807, P09055, Q61739, P05533	Review	21075331	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD11a, CD13, CD14, CD18, CD29, CD34, CD44, CD79a, CD45, CD45RB, CD90, MHC class I, MHC class II	Itgal, Anpep, Cd14, Itgb2, Itgb1, Cd34, Cd44, Cd79a, Ptprc, Ptprc, Thy1, MHC class I, MHC class II	16408, 16790, 12475, 16414, 16412, 12490, 12505, 12518, 19264, 19264, 21838, MHC class I, MHC class II	ITAL, AMPN, CD14, ITB2, ITB1, CD34, CD44, CD79A, PTPRC, PTPRC, THY1, MHC class I, MHC class II	P24063, P97449, P10810, P11835, P09055, Q64314, P15379, P11911, P06800, P06800, P01831, MHC class I, MHC class II	Review	21196039	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD13, CD44, CD90	Anpep, Cd44, Thy1	16790, 12505, 21838	AMPN, CD44, THY1	P97449, P15379, P01831	Review	21196039	NA
Mouse	Umbilical cord	UBERON_0002331	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD105, CD133, CD146, CD34, CD45, CD54, CD73, CD90, MHC class I	Eng, Prom1, Mcam, Cd34, Ptprc, Icam1, Nt5e, Thy1, MHC class I	13805, 19126, 84004, 12490, 19264, 15894, 23959, 21838, MHC class I	EGLN, PROM1, MUC18, CD34, PTPRC, ICAM1, 5NTD, THY1, MHC class I	Q63961, O54990, Q8R2Y2, Q64314, P06800, P13597, Q61503, P01831, MHC class I	Review	21196039	NA
Mouse	Umbilical cord blood	UBERON_0012168	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD18	Itgb2	16414	ITB2	P11835	Review	21196039	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD117, CD13, CD140a, CD34, CD44, CD45, CD90	Kit, Anpep, Pdgfra, Cd34, Cd44, Ptprc, Thy1	16590, 16790, 18595, 12490, 12505, 19264, 21838	KIT, AMPN, PGFRA, CD34, CD44, PTPRC, THY1	P05532, P97449, P26618, Q64314, P15379, P06800, P01831	Review	21196039	NA
Mouse	Undefined	NA	Leukemia	Cancer cell	Cancer stem cell	NA	CD34, CD38, CD47	Cd34, Cd38, Cd47	12490, 12494, 16423	CD34, CD38, CD47	Q64314, P56528, Q61735	Review	23540661	NA
