speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Endothelial cell	CL_0000115	CD31	PECAM1	5175	PECA1	P16284	Experiment	17525234	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Endothelial cell	CL_0000115	ABCG2, CD133, CD31, CD34	ABCG2, PROM1, PECAM1, CD34	9429, 8842, 5175, 947	ABCG2, PROM1, PECA1, CD34	Q9UNQ0, O43490, P16284, P28906	Experiment	15238461	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	NANOG, OCT4, SSEA-4, TRA-1-60, TRA-1-81	NANOG, POU5F1, NA, PODXL, PODXL	79923, 5460, NA, 5420, 5420	NANOG, PO5F1, NA, PODXL, PODXL	Q9H9S0, Q01860, NA, O00592, O00592	Experiment	29979972	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD90, NANOG, OCT4, SOX2	ENG, THY1, NANOG, POU5F1, SOX2	2022, 7070, 79923, 5460, 6657	EGLN, THY1, NANOG, PO5F1, SOX2	P17813, P04216, Q9H9S0, Q01860, P48431	Experiment	28545230	NA
Human	Brown adipose tissue	UBERON_0001348	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	PGC-1-alpha, UCP1	PPARGC1A, UCP1	10891, 7350	PRGC1, UCP1	Q9UBK2, P25874	Experiment	28469599	NA
Human	White adipose tissue	UBERON_0001347	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	Leptin	LEP	3952	LEP	P41159	Experiment	28469599	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stem cell	CL_0000034	CD105, CD29, CD34, CD73, CD90	ENG, ITGB1, CD34, NT5E, THY1	2022, 3688, 947, 4907, 7070	EGLN, ITB1, CD34, 5NTD, THY1	P17813, P05556, P28906, P21589, P04216	Experiment	28234837	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD29, CD44, CD90	ITGB1, CD44, THY1	3688, 960, 7070	ITB1, CD44, THY1	P05556, P16070, P04216	Experiment	28055225	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stem cell	CL_0000034	CD105, CD31, CD34, CD45, CD73, CD90	ENG, PECAM1, CD34, PTPRC, NT5E, THY1	2022, 5175, 947, 5788, 4907, 7070	EGLN, PECA1, CD34, PTPRC, 5NTD, THY1	P17813, P16284, P28906, P08575, P21589, P04216	Experiment	27859461	NA
Human	Adipose tissue	UBERON_0001013	Lipoma	Cancer cell	Stem cell	CL_0000034	CD34	CD34	947	CD34	P28906	Experiment	26327807	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD44, CD73, CD90	CD44, NT5E, THY1	960, 4907, 7070	CD44, 5NTD, THY1	P16070, P21589, P04216	Experiment	24565521	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD34, CD44, CD45	ENG, CD34, CD44, PTPRC	2022, 947, 960, 5788	EGLN, CD34, CD44, PTPRC	P17813, P28906, P16070, P08575	Experiment	24321269	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD34, CD70, CD90	ENG, CD34, CD70, THY1	2022, 947, 970, 7070	EGLN, CD34, CD70, THY1	P17813, P28906, P32970, P04216	Experiment	23588700	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stem cell	CL_0000034	CD44, CD73, CD90	CD44, NT5E, THY1	960, 4907, 7070	CD44, 5NTD, THY1	P16070, P21589, P04216	Experiment	22940220	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stem cell	CL_0000034	ABCG2, CD34, CD90, P63	ABCG2, CD34, THY1, TP63	9429, 947, 7070, 8626	ABCG2, CD34, THY1, P63	Q9UNQ0, P28906, P04216, Q9H3D4	Experiment	22199247	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	STRO-1	NA	NA	NA	NA	Experiment	21208041	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	STRO-1	NA	NA	NA	NA	Experiment	18597617	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stem cell	CL_0000034	CD29, CD44	ITGB1, CD44	3688, 960	ITB1, CD44	P05556, P16070	Experiment	18295879	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Macrophage	CL_0000235	CD16, CD32	[FCGR3A, FCGR3B], [FCGR2A, FCGR2B, FCGR2C]	[2214, 2215], [2212, 2213, 9103]	[FCG3A, FCG3B], [FCG2A, FCG2B, FCG2C]	[P08637, O75015], [P12318, P31994, P31995]	Experiment	29502100	NA
Human	Visceral adipose tissue	UBERON_0014454	Normal	Normal cell	Macrophage	CL_0000235	CD68	CD68	968	CD68	P34810	Experiment	19765775	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Macrophage	CL_0000235	CD14, CD68	CD14, CD68	929, 968	CD14, CD68	P08571, P34810	Experiment	15671098	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stromal cell	CL_0000499	GREM1	GREM1	26585	GREM1	O60565	Experiment	29938755	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Stromal cell	CL_0000499	CD105, CD44, CD73, CD90	ENG, CD44, NT5E, THY1	2022, 960, 4907, 7070	EGLN, CD44, 5NTD, THY1	P17813, P16070, P21589, P04216	Experiment	26621500	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Pericyte	CL_0000669	CD146, NG2	MCAM, CSPG4	4162, 1464	MUC18, CSPG4	P43121, Q6UVK1	Experiment	28376684	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Pericyte	CL_0000669	CD146, NG2	MCAM, CSPG4	4162, 1464	MUC18, CSPG4	P43121, Q6UVK1	Experiment	27547374	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD34	CD34	947	CD34	P28906	Experiment	22507457	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	29928431	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	29796189	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD24, CD44	PROM1, CD24, CD44	8842, 100133941, 960	PROM1, CD24, CD44	O43490, P25063, P16070	Experiment	29277789	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD44, NANOG, Oct3/4	PROM1, CD44, NANOG, POU5F1	8842, 960, 79923, 5460	PROM1, CD44, NANOG, PO5F1	O43490, P16070, Q9H9S0, Q01860	Experiment	27806848	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD166, CD24, CD44	ALCAM, CD24, CD44	214, 100133941, 960	CD166, CD24, CD44	Q13740, P25063, P16070	Experiment	27789195	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	27323782	NA
Human	Stomach	UBERON_0000945	Gastric Cancer	Cancer cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	27323782	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, ALDH1, CD44	ABCG2, ALDH1A1, CD44	9429, 216, 960	ABCG2, AL1A1, CD44	Q9UNQ0, P00352, P16070	Experiment	26185996	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD44	PROM1, CD44	8842, 960	PROM1, CD44	O43490, P16070	Experiment	25625240	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD44	PROM1, CD44	8842, 960	PROM1, CD44	O43490, P16070	Experiment	22310487	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	ALDH1A1, CD133, CD166, CD44, LGR5	ALDH1A1, PROM1, ALCAM, CD44, LGR5	216, 8842, 214, 960, 8549	AL1A1, PROM1, CD166, CD44, LGR5	P00352, O43490, Q13740, P16070, O75473	Experiment	21196254	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	19621338	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Basophil	CL_0000767	CD195	CCR5	1234	CCR5	P51681	Experiment	7759888	NA
Human	Undefined	NA	Normal	Normal cell	Mesothelial cell	CL_0000077	LRRN4, UPK3B	LRRN4, UPK3B	164312, 105375355	LRRN4, UPK3B	Q8WUT4, Q9BT76	Experiment	21984916	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Mesothelial cell	CL_0000077	N-cadherin	CDH2	1000	CADH2	P19022	Experiment	8522310	NA
Human	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Cancer cell	CL_0001064	CK19	KRT19	3880	K1C19	P08727	Experiment	9314945	NA
Human	Undefined	NA	Lung Cancer	Cancer cell	Cancer cell	CL_0001064	NCAM	NCAM1	4684	NCAM1	P13591	Experiment	2165922	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Plasmacytoid dendritic cell	CL_0000784	CD141	THBD	7056	TRBM	P07204	Experiment	19328670	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	CD166, CD44, EpCAM	ALCAM, CD44, EPCAM	214, 960, 4072	CD166, CD44, EPCAM	Q13740, P16070, P16422	Experiment	29845263	NA
Human	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Cancer stem cell	NA	CD24	CD24	100133941	CD24	P25063	Experiment	29845249	NA
Human	Undefined	NA	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ALDH1, CD133, SOX2	ALDH1A1, PROM1, SOX2	216, 8842, 6657	AL1A1, PROM1, SOX2	P00352, O43490, P48431	Experiment	29432994	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	29190547	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH1, CD133	ALDH1A1, PROM1	216, 8842	AL1A1, PROM1	P00352, O43490	Experiment	28855609	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, CD44	ABCG2, CD44	9429, 960	ABCG2, CD44	Q9UNQ0, P16070	Experiment	28846189	NA
Human	Undefined	NA	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH, CD44v	ALDH family, CD44	ALDH family, 960	ALDH family, CD44	ALDH family, P16070	Experiment	28819374	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ABCB1, ALDH1A1, CD44	ABCB1, ALDH1A1, CD44	5243, 216, 960	MDR1, AL1A1, CD44	P08183, P00352, P16070	Experiment	28693170	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	CD44v	CD44	960	CD44	P16070	Experiment	28667792	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH1A1, CD133	ALDH1A1, PROM1	216, 8842	AL1A1, PROM1	P00352, O43490	Experiment	28476825	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	ALDH1A1	ALDH1A1	216	AL1A1	P00352	Experiment	28415606	NA
Human	Lung	UBERON_0002048	Lung Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	GLI1	GLI1	2735	GLI1	P08151	Experiment	28286162	NA
Human	Undefined	NA	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ALDH1A1, CD133	ALDH1A1, PROM1	216, 8842	AL1A1, PROM1	P00352, O43490	Experiment	28259926	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	ALDH1A1, CD133, CD44	ALDH1A1, PROM1, CD44	216, 8842, 960	AL1A1, PROM1, CD44	P00352, O43490, P16070	Experiment	28179308	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	Nestin	NES	10763	NEST	P48681	Experiment	29517198	NA
Human	Lung	UBERON_0002048	Lung Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	Podoplanin	PDPN	10630	PDPN	Q86YL7	Experiment	28011493	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	28000861	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	ALDH1, CD133, CD44	ALDH1A1, PROM1, CD44	216, 8842, 960	AL1A1, PROM1, CD44	P00352, O43490, P16070	Experiment	27633248	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH1, CD133, CD44, NANOG, OCT4, SOX2	ALDH1A1, PROM1, CD44, NANOG, POU5F1, SOX2	216, 8842, 960, 79923, 5460, 6657	AL1A1, PROM1, CD44, NANOG, PO5F1, SOX2	P00352, O43490, P16070, Q9H9S0, Q01860, P48431	Experiment	27285762	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	SOX2	SOX2	6657	SOX2	P48431	Experiment	27150062	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	26996130	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, CD117, CD133	ABCG2, KIT, PROM1	9429, 3815, 8842	ABCG2, KIT, PROM1	Q9UNQ0, P10721, O43490	Experiment	26951883	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	ABCG2, ALDH1A1, CD133, CD44	ABCG2, ALDH1A1, PROM1, CD44	9429, 216, 8842, 960	ABCG2, AL1A1, PROM1, CD44	Q9UNQ0, P00352, O43490, P16070	Experiment	26947806	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	CD133, CD44	PROM1, CD44	8842, 960	PROM1, CD44	O43490, P16070	Experiment	26621583	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	ALDH, OCT4	ALDH family, POU5F1	ALDH family, 5460	ALDH family, PO5F1	ALDH family, Q01860	Experiment	26546046	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	26515729	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	c-Myc, CD133, KLF4, NANOG	MYC, PROM1, KLF4, NANOG	4609, 8842, 9314, 79923	MYC, PROM1, KLF4, NANOG	P01106, O43490, O43474, Q9H9S0	Experiment	26503334	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH1, CD44	ALDH1A1, CD44	216, 960	AL1A1, CD44	P00352, P16070	Experiment	26464642	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	26278043	NA
Human	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Cancer stem cell	NA	ALDH1A1	ALDH1A1	216	AL1A1	P00352	Experiment	26230297	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	26212008	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	ABCB1, ALDH1A1	ABCB1, ALDH1A1	5243, 216	MDR1, AL1A1	P08183, P00352	Experiment	26202045	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	ALDH1, CD133	ALDH1A1, PROM1	216, 8842	AL1A1, PROM1	P00352, O43490	Experiment	26046383	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	25800567	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	25335738	NA
Human	Lung	UBERON_0002048	Lung Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	ALDH-1, CD44 variant6, Podoplanin	ALDH1A1, CD44, PDPN	216, 960, 10630	AL1A1, CD44, PDPN	P00352, P16070, Q86YL7	Experiment	24814677	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	Musashi-1	MSI1	4440	MSI1H	O43347	Experiment	24787949	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	Nestin	NES	10763	NEST	P48681	Experiment	24481417	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG5, ALDH1, CD133, CD166, CD24, CD44, ESA, Nestin, OCT4, SOX2	ABCG5, ALDH1A1, PROM1, ALCAM, CD24, CD44, FLOT2, NES, POU5F1, SOX2	64240, 216, 8842, 214, 100133941, 960, 2319, 10763, 5460, 6657	ABCG5, AL1A1, PROM1, CD166, CD24, CD44, FLOT2, NEST, PO5F1, SOX2	Q9H222, P00352, O43490, Q13740, P25063, P16070, Q14254, P48681, Q01860, P48431	Experiment	24346092	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	24228135	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, ALDHA1, BMI1	ABCG2, ALDH1A1, BMI1	9429, 216, 648	ABCG2, AL1A1, BMI1	Q9UNQ0, P00352, P35226	Experiment	23922106	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH1A1, CD133	ALDH1A1, PROM1	216, 8842	AL1A1, PROM1	P00352, O43490	Experiment	23539445	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	NANOG, OCT4, SOX2	NANOG, POU5F1, SOX2	79923, 5460, 6657	NANOG, PO5F1, SOX2	Q9H9S0, Q01860, P48431	Experiment	23349823	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH1, Beta-catenin, CD133, CD44	ALDH1A1, CTNNB1, PROM1, CD44	216, 1499, 8842, 960	AL1A1, CTNB1, PROM1, CD44	P00352, P35222, O43490, P16070	Experiment	23252868	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	ALDH, CD133, OCT4A	ALDH family, PROM1, POU5F1	ALDH family, 8842, POU5F1	ALDH family, PROM1, PO5F1	ALDH family, O43490, Q01860	Experiment	22529186	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, ALDH1, BMI1, CD133	ABCG2, ALDH1A1, BMI1, PROM1	9429, 216, 648, 8842	ABCG2, AL1A1, BMI1, PROM1	Q9UNQ0, P00352, P35226, O43490	Experiment	22387005	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Cancer stem cell	NA	CD133, Nestin	PROM1, NES	8842, 10763	PROM1, NEST	O43490, P48681	Experiment	21293543	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	21228926	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	BMI1, CD133, CD34, CD44, OCT4	BMI1, PROM1, CD34, CD44, POU5F1	648, 8842, 947, 960, 5460	BMI1, PROM1, CD34, CD44, PO5F1	P35226, O43490, P28906, P16070, Q01860	Experiment	21124918	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH	ALDH family	ALDH family	ALDH family	ALDH family	Experiment	21118965	NA
Human	Lung	UBERON_0002048	Non-Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, CD133	ABCG2, PROM1	9429, 8842	ABCG2, PROM1	Q9UNQ0, O43490	Experiment	20717756	NA
Human	Undefined	NA	Small Cell Lung Cancer	Cancer cell	Cancer stem cell	NA	ABCG2, CD133	ABCG2, PROM1	9429, 8842	ABCG2, PROM1	Q9UNQ0, O43490	Experiment	20193106	NA
Human	Undefined	NA	Normal	Normal cell	Cancer stem cell	NA	OCT4	POU5F1	5460	PO5F1	Q01860	Experiment	20074550	NA
Human	Lung	UBERON_0002048	Lung Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	CD44, P63, Podoplanin	CD44, TP63, PDPN	960, 8626, 10630	CD44, P63, PDPN	P16070, Q9H3D4, Q86YL7	Experiment	19681903	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Clara cell	CL_0000158	CC10	SCGB1A1	7356	UTER	P11684	Experiment	22883104	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Clara cell	CL_0000158	CC10	SCGB1A1	7356	UTER	P11684	Experiment	8032532	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Clara cell	CL_0000158	Uteroglobin	SCGB1A1	7356	UTER	P11684	Experiment	1284526	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Clara cell	CL_0000158	CC10	SCGB1A1	7356	UTER	P11684	Experiment	3275712	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Dendritic cell	CL_0000451	CD141, CD1c, CD303	THBD, CD1C, CLEC4C	7056, 911, 170482	TRBM, CD1C, CLC4C	P07204, P29017, Q8WTT0	Experiment	28783692	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Dendritic cell	CL_0000451	CCR6, PCD1, PCX3CR1, PFLT3	CCR6, NA, PCX3CR1, PFLT3	1235, NA, P1524, P2322	CCR6, NA, PCX3C1, PFLT3	P51684, NA, PP49238, PP36888	Experiment	28031342	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Dendritic cell	CL_0000451	CD11c, CD209, CD83	ITGAX, CD209, CD83	3687, 30835, 9308	ITAX, CD209, CD83	P20702, Q9NNX6, Q01151	Experiment	23994500	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Dendritic cell	CL_0000451	CD83	CD83	9308	CD83	Q01151	Experiment	20420706	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Dendritic cell	CL_0000451	CD141, CD1c, CD303, CD83	THBD, CD1C, CLEC4C, CD83	7056, 911, 170482, 9308	TRBM, CD1C, CLC4C, CD83	P07204, P29017, Q8WTT0, Q01151	Experiment	19328670	NA
Human	Lung	UBERON_0002048	Small Cell Lung Cancer	Cancer cell	Dendritic cell	CL_0000451	CD1a, CD83	CD1A, CD83	909, 9308	CD1A, CD83	P06126, Q01151	Experiment	11211308	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Dendritic cell	CL_0000451	CD1a, MHC Class II	CD1A, MHC Class II	909, MHC Class II	CD1A, MHC Class II	P06126, MHC Class II	Experiment	10764333	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	CD144, CD146, CD31	CDH5, MCAM, PECAM1	1003, 4162, 5175	CADH5, MUC18, PECA1	P33151, P43121, P16284	Experiment	26410868	NA
Human	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Endothelial cell	CL_0000115	CD146, CD31, VWF	MCAM, PECAM1, VWF	4162, 5175, 7450	MUC18, PECA1, VWF	P43121, P16284, P04275	Experiment	24236063	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	LYVE-1	LYVE1	10894	LYVE1	Q9Y5Y7	Experiment	22154125	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	CD34	CD34	947	CD34	P28906	Experiment	19465515	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	CD31	PECAM1	5175	PECA1	P16284	Experiment	17481912	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Endothelial cell	CL_0000115	CD31	PECAM1	5175	PECA1	P16284	Experiment	16849681	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	CD31, CD34, VWF	PECAM1, CD34, VWF	5175, 947, 7450	PECA1, CD34, VWF	P16284, P28906, P04275	Experiment	16234507	NA
Human	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Endothelial cell	CL_0000115	Endocan	ESM1	11082	ESM1	Q9NQ30	Experiment	16168566	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	CD34, FLT1, KDR, von Willebrand factor	CD34, FLT1, KDR, VWF	947, 2321, 3791, 7450	CD34, VGFR1, VGFR2, VMF	P28906, P17948, P35968, P04275	Experiment	12388336	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	PECAM1	PECAM1	5175	PECA1	P16284	Experiment	11734454	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Endothelial cell	CL_0000115	Endomucin	EMCN	51705	MUCEN	Q9ULC0	Experiment	11594763	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD19	CD19	930	CD19	P15391	Experiment	27035756	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD80, CD86	CD80, CD86	941, 942	CD80, CD86	P33681, P42081	Experiment	24763671	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Memory B cell	CL_0000787	CD27	CD27	939	CD27	P26842	Experiment	23901121	NA
Human	Undefined	NA	Normal	Normal cell	B cell	CL_0000236	CD10, CD19	MME, CD19	4311, 930	NEP, CD19	P08473, P15391	Experiment	23901121	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD20	MS4A1	931	CD20	P11836	Experiment	20955462	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD20, CD79a	MS4A1, CD79A	931, 973	CD20, CD79A	P11836, P11912	Experiment	19031716	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD20	MS4A1	931	CD20	P11836	Experiment	14571725	NA
Human	Undefined	NA	Normal	Normal cell	B cell	CL_0000236	PAX5	PAX5	5079	PAX5	Q02548	Experiment	12360049	NA
Human	Fetal liver	NA	Normal	Normal cell	B cell	CL_0000236	CD19	CD19	930	CD19	P15391	Experiment	10989197	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD45RO	PTPRC	5788	PTPRC	P08575	Experiment	9453427	NA
Human	Fetal liver	NA	Normal	Normal cell	B cell	CL_0000236	CD20, CD24	MS4A1, CD24	931, 100133941	CD20, CD24	P11836, P25063	Experiment	3871452	NA
Human	Liver	UBERON_0002107	Hepatocellular Cancer	Cancer cell	Cancer stem cell	NA	EpCAM	EPCAM	4072	EPCAM	P16422	Experiment	28951464	NA
Human	Liver	UBERON_0002107	Hepatocellular Cancer	Cancer cell	Cancer stem cell	NA	CD90	THY1	7070	THY1	P04216	Experiment	28645561	NA
Human	Undefined	NA	Pancreatic Ductal Adenocarcinoma	Cancer cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	28507102	NA
